,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.38,1.01,1.27,1.2,2.94,16.76,28.56,27.62,29.44,35.84,50.36,69.71,62.65,76.06,118.1
e_1,0.72,1.0,0.93,1.17,1.54,2.93,22.08,28.76,29.36,41.35,40.61,58.29,90.87,81.14,122.43,111.92
d_1,0.99,1.07,1.0,0.97,1.1,2.74,18.35,20.75,33.86,25.91,38.79,54.57,63.68,68.25,86.66,78.13
c_1,0.79,0.86,1.02,1.0,1.63,2.44,16.77,19.52,20.87,19.08,27.78,44.16,62.52,71.4,73.3,99.28
b_1,0.83,0.65,0.92,0.62,1.0,3.07,15.14,22.06,23.61,22.4,27.69,41.36,52.78,67.06,92.22,91.41
a_1,0.34,0.34,0.37,0.41,0.33,1.0,8.6,10.84,9.57,10.49,15.09,18.26,25.45,27.49,36.15,39.9
h_1,0.06,0.04,0.05,0.06,0.07,0.12,1.0,1.72,1.35,1.29,1.93,2.44,3.2,3.69,4.41,5.89
g_1,0.04,0.03,0.05,0.05,0.05,0.1,0.59,1.0,0.9,0.97,1.45,2.27,2.48,2.14,3.8,3.77
c_0,0.04,0.03,0.03,0.04,0.04,0.09,0.73,1.21,1.0,1.16,1.85,1.92,3.03,2.83,3.68,3.92
d_0,0.03,0.02,0.04,0.05,0.04,0.1,0.78,1.03,0.8,1.0,1.32,1.83,2.49,2.69,2.82,4.03
b_0,0.03,0.02,0.03,0.04,0.03,0.07,0.54,0.69,0.55,0.81,1.0,1.54,2.89,2.07,2.34,2.56
f_0,0.02,0.02,0.02,0.02,0.02,0.06,0.4,0.44,0.51,0.54,0.64,1.0,1.38,1.62,2.48,1.65
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.32,0.39,0.33,0.37,0.36,0.71,1.0,1.18,1.31,1.4
h_0,0.02,0.01,0.01,0.01,0.01,0.04,0.27,0.44,0.36,0.39,0.5,0.62,0.89,1.0,1.33,1.65
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.23,0.28,0.28,0.34,0.42,0.4,0.73,0.69,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.27,0.26,0.24,0.36,0.65,0.72,0.57,0.83,1.0
