,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.09,0.08,0.1,0.07,0.08,0.07,0.11,0.04,0.06,0.05,0.05,0.06,0.04,,0.07
f_1,0.17,0.93,0.11,0.13,0.09,0.08,0.05,0.07,0.06,0.05,0.06,,0.05,0.04,0.04,0.04
d_1,0.11,0.11,0.93,0.07,0.09,0.06,0.07,,0.07,0.12,0.07,0.05,0.07,0.03,0.05,0.05
c_1,0.1,0.09,0.13,0.93,0.13,0.07,0.08,0.06,0.07,,0.06,0.07,0.08,0.05,0.04,0.04
b_1,0.12,0.1,0.13,0.09,0.93,0.13,0.07,0.08,0.06,0.06,,0.06,0.06,0.04,0.04,0.06
a_1,0.1,0.11,0.13,0.11,0.1,0.93,0.09,0.09,0.07,0.07,0.09,0.05,0.08,,,0.07
h_1,0.33,0.47,0.22,0.24,0.24,0.14,0.71,0.19,0.17,0.14,0.2,0.15,,0.15,0.1,0.16
d_0,0.32,0.36,,0.51,0.25,0.21,0.24,0.57,0.19,0.23,0.21,0.19,0.23,0.12,0.16,0.21
g_1,0.31,0.28,0.32,0.27,0.3,0.2,0.21,0.21,0.71,0.15,0.15,0.27,0.19,0.12,0.1,
c_0,0.43,0.41,0.27,,0.35,0.21,0.26,0.21,0.22,0.57,0.33,0.2,0.19,0.14,0.19,0.16
b_0,0.47,0.39,0.28,0.36,,0.16,0.22,0.23,0.2,0.2,0.58,0.19,0.25,0.29,0.16,0.22
f_0,0.34,,0.47,0.37,0.29,0.22,0.26,0.22,0.2,0.26,0.25,0.57,0.19,0.18,,0.18
h_0,0.36,0.66,0.43,0.43,0.43,0.25,,0.32,0.35,0.33,0.27,0.31,,0.15,0.21,0.3
a_0,0.41,0.41,0.45,0.36,0.35,,0.28,0.34,0.23,0.29,0.15,0.19,0.33,0.57,,0.19
e_0,,0.47,0.38,0.41,0.37,,0.43,0.26,0.27,0.22,0.2,,0.25,,0.57,0.22
g_0,0.46,0.43,0.67,0.62,0.43,0.24,0.38,0.31,,0.32,0.27,0.42,0.24,0.18,0.16,
