,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.27,0.9,0.89,0.89,1.02,0.61,0.6,0.59,0.56,0.6,0.54,0.5,0.56,0.61,0.45
e_1,0.79,1.0,0.92,1.16,0.94,0.67,0.74,0.69,0.65,0.95,0.61,0.79,0.65,0.63,0.6,0.63
d_1,1.11,1.09,1.0,0.93,0.93,0.73,0.74,0.89,0.53,0.63,0.7,0.6,0.58,0.47,0.47,0.6
c_1,1.12,0.86,1.08,1.0,1.21,0.82,0.82,0.54,0.6,0.5,0.57,0.57,0.6,0.5,0.67,0.54
b_1,1.12,1.06,1.07,0.83,1.0,1.32,0.8,0.77,0.67,0.7,0.74,0.63,0.73,0.65,0.52,0.51
a_1,0.98,1.5,1.36,1.21,0.76,1.0,0.8,0.9,0.98,0.97,0.79,0.73,0.75,0.7,0.65,0.63
h_1,1.7,1.31,1.4,1.22,1.25,1.21,1.0,0.83,1.23,0.81,1.06,0.83,1.03,0.78,0.96,0.79
c_0,1.8,1.38,1.04,1.95,1.34,1.13,1.2,1.0,1.26,1.24,1.39,0.99,0.94,0.97,0.83,0.81
g_1,1.57,1.46,1.91,1.63,1.42,1.04,0.82,0.76,1.0,0.78,0.84,1.06,0.67,0.86,0.68,0.9
d_0,1.82,1.04,1.42,2.11,1.39,1.04,1.25,0.82,1.3,1.0,1.08,0.92,0.85,0.91,1.01,0.87
b_0,1.72,1.6,1.57,1.94,1.45,1.18,0.94,0.71,1.19,0.97,1.0,1.07,0.96,1.7,1.01,0.98
f_0,1.8,1.31,1.67,1.75,1.53,1.41,1.21,0.99,0.9,1.07,0.86,1.0,0.94,1.06,0.68,1.23
h_0,2.12,1.48,1.71,1.64,1.35,1.28,0.99,1.05,1.54,1.15,1.05,1.03,1.0,0.89,1.04,0.82
a_0,1.85,1.42,2.21,1.93,1.46,,1.33,1.07,1.12,1.09,0.66,1.03,1.26,1.0,1.01,1.23
g_0,1.55,1.63,2.19,1.61,1.86,1.35,1.01,1.19,1.49,1.01,1.01,1.49,0.95,0.93,1.0,1.0
e_0,2.39,1.4,1.71,1.96,1.99,1.55,1.2,1.25,1.04,1.11,1.05,0.84,1.21,0.81,0.98,1.0
