,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.28,1.47,0.77,0.75,0.65,0.52,1.41,1.69,1.22,1.55,0.97,1.52,2.02,0.95,1.09,1.64
e_1,0.95,2.3,1.01,0.72,0.7,0.63,1.54,2.97,1.36,1.67,1.69,1.58,2.3,1.07,1.4,1.6
c_1,0.93,0.67,2.46,0.78,1.42,0.71,1.35,1.42,1.27,0.8,1.48,1.1,1.98,1.15,1.26,2.03
d_1,0.85,0.88,0.61,2.51,0.68,0.68,1.59,1.15,1.53,3.3,2.0,1.94,2.1,1.54,1.33,2.0
b_1,0.9,0.8,0.85,0.74,2.66,1.33,1.41,1.85,1.3,1.37,1.49,0.87,2.2,1.33,1.23,2.02
a_1,0.93,0.82,0.99,0.88,0.74,3.04,1.44,1.85,1.18,1.47,1.55,1.47,2.25,1.43,0.99,1.87
h_1,1.27,0.92,1.05,0.88,0.74,0.58,3.37,1.61,1.98,1.73,1.64,1.87,1.62,1.26,1.32,2.58
d_0,1.01,0.87,1.54,0.61,0.89,0.72,1.75,2.92,1.32,1.46,2.01,1.67,2.14,1.28,1.3,2.38
g_1,0.93,0.85,0.79,1.42,0.74,0.6,1.61,1.56,3.62,1.75,2.77,1.88,2.3,1.76,1.81,1.64
c_0,0.99,1.08,0.67,0.96,0.68,0.63,1.79,1.88,1.93,3.15,2.06,3.61,2.48,1.97,1.98,2.29
f_0,0.72,0.7,0.97,1.01,0.96,0.87,1.9,2.03,1.55,2.25,3.32,1.93,2.41,3.64,1.51,2.57
b_0,1.09,1.03,1.0,0.99,0.59,0.59,1.78,1.72,1.83,1.7,1.75,3.37,2.48,1.68,3.05,2.57
h_0,1.31,0.9,0.89,0.89,0.82,0.73,1.38,1.9,1.88,1.67,1.7,1.88,1.94,1.74,1.56,2.71
e_0,0.87,0.73,1.05,0.96,0.97,0.69,2.02,2.17,1.73,1.89,2.07,2.18,2.82,3.65,1.98,2.81
a_0,1.24,0.9,0.98,0.94,0.82,0.45,1.62,1.9,1.45,1.78,1.87,1.84,2.83,1.65,3.62,2.41
g_0,0.63,0.89,0.9,1.37,0.92,0.75,1.68,1.44,1.22,2.06,2.89,2.02,2.41,1.91,1.41,1.9
