,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,2.17,3.69,3.64,3.13,3.04,1.26,1.26,1.25,0.9,0.89,1.04,0.9,0.7,1.32,0.71
f_1,3.57,1.07,3.7,3.54,3.09,2.7,0.97,1.29,1.03,1.13,1.02,1.81,0.86,0.56,0.74,0.81
c_1,3.37,3.11,1.07,4.07,3.81,3.15,1.71,1.28,0.68,1.01,1.98,1.06,0.87,0.76,0.93,0.86
d_1,3.6,4.0,3.48,1.07,3.85,3.24,1.23,0.91,2.95,1.05,1.26,1.0,0.81,0.72,0.97,0.47
b_1,4.39,4.15,2.57,3.57,1.07,4.5,1.44,1.48,1.07,2.51,1.4,0.88,1.0,0.92,1.12,1.25
a_1,4.21,5.87,5.06,4.75,2.71,1.07,2.35,1.92,1.57,1.94,1.41,1.72,3.01,1.25,1.27,1.03
h_1,8.2,10.24,6.68,6.33,6.65,4.73,1.38,3.02,2.58,2.0,1.86,2.0,2.16,2.9,2.01,1.98
g_1,9.33,8.83,8.31,8.15,10.04,6.96,2.49,1.37,2.64,2.7,2.44,2.72,2.37,1.65,2.31,3.01
d_0,5.78,8.3,10.44,10.41,10.32,7.62,3.5,3.86,1.62,3.26,2.25,2.54,2.27,2.36,2.48,2.33
b_0,9.37,8.42,10.38,7.05,16.89,7.75,3.2,3.24,2.36,1.6,1.63,2.66,3.02,2.15,2.01,1.77
c_0,10.18,8.85,22.1,5.41,8.21,10.44,4.17,3.54,3.47,2.97,1.65,2.86,2.57,2.81,2.63,1.99
f_0,11.16,26.24,8.25,9.05,11.29,9.59,4.16,2.63,3.17,2.52,2.67,1.57,2.76,2.69,2.6,1.49
a_0,11.47,14.67,11.33,14.1,13.47,11.83,4.25,6.5,4.07,1.92,2.74,3.14,1.67,2.81,2.32,2.5
h_0,13.46,12.77,12.0,13.85,10.16,9.53,7.43,5.03,3.24,3.35,3.08,3.4,2.89,5.62,2.3,2.69
e_0,23.46,15.96,13.0,10.84,13.62,10.9,3.69,4.64,3.75,3.89,3.43,2.35,4.1,3.69,1.68,2.78
g_0,13.22,16.07,12.54,18.41,10.72,12.73,4.24,7.75,4.3,3.85,4.03,4.23,3.33,2.98,3.39,4.18
