,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,94.07,74.56,63.36,78.11,118.99,257.23,9307.84,15038.98,16046.86,21103.16,15928.11,32075.17,59075.99,115568.05,96164.74,156402.77
e_1,39.38,97.95,90.46,67.68,120.35,309.65,9280.05,26109.01,18700.43,23636.57,32679.67,36024.72,89178.74,108219.82,150343.26,145400.61
c_1,42.95,31.62,140.47,71.64,192.2,230.12,7830.52,10050.31,13033.14,8426.08,21419.74,22551.81,63657.27,85981.36,107352.22,160101.91
d_1,37.06,39.66,50.98,149.43,103.86,222.64,8845.23,9066.05,14146.59,33369.43,28036.72,32747.92,59782.83,130716.56,109469.62,126338.83
b_1,35.03,30.28,41.43,54.14,228.57,370.5,6488.75,11830.81,12019.77,13593.28,18107.96,14628.37,53906.18,86368.6,97965.17,119421.5
a_1,26.35,22.83,47.56,47.16,51.5,452.65,4883.8,10062.89,8143.14,11861.05,14192.78,17751.46,43087.95,78690.14,52316.54,87406.02
h_1,13.35,9.94,18.59,16.29,27.47,59.91,3845.9,3250.24,5078.14,5432.74,4927.93,7920.7,10580.2,24163.38,27055.38,44208.0
d_0,9.93,7.59,23.73,11.58,26.06,58.14,2286.06,4657.52,3223.27,4360.51,6400.88,6731.59,14606.1,23116.77,23509.01,41462.48
g_1,8.86,7.95,12.99,20.15,23.02,54.13,1723.88,2661.2,6083.02,3784.67,7262.41,6373.95,11131.62,27213.35,26051.6,21602.72
c_0,8.11,9.47,11.79,12.64,22.12,46.04,1923.17,3007.28,3892.64,6131.73,5089.47,10533.5,12995.55,26235.48,28091.22,29329.47
f_0,6.17,6.22,14.16,14.42,24.21,53.69,1894.54,2787.65,2451.64,4367.33,7276.08,5953.73,12234.03,42743.41,22328.23,28406.79
b_0,7.58,7.83,14.52,11.1,14.55,45.12,1743.3,2461.16,3213.55,3161.16,4369.82,8670.34,11475.8,20574.08,36098.82,29287.28
h_0,7.78,5.33,9.94,10.04,16.56,40.34,1303.61,2117.48,2882.43,2867.79,3159.87,4736.66,8001.12,16556.2,17832.44,25386.97
e_0,4.27,3.55,9.36,6.96,15.33,29.41,1310.59,2015.14,1852.03,2466.26,2374.17,3920.26,8889.04,24326.37,18364.56,18770.88
a_0,5.82,3.67,8.95,8.34,13.16,20.2,1113.47,1768.91,1569.5,2159.94,2869.29,3190.09,7614.24,13036.95,24768.82,20125.71
g_0,3.41,4.61,7.35,11.13,14.19,28.95,1046.27,1080.74,1496.85,2369.92,3600.15,3379.52,6639.52,14261.73,11982.83,13450.75
