,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,93.08,28.94,49.05,52.62,89.61,237.45,5379.94,8909.25,19109.06,14619.29,22091.31,24830.89,56011.12,67966.5,157651.97,71717.12
f_1,47.67,100.37,45.62,45.06,71.56,276.46,4252.03,7469.32,10158.78,12916.73,22928.28,7788.33,51782.33,62854.89,106534.63,114499.74
d_1,26.06,30.68,138.64,40.9,59.87,252.41,5140.09,6984.22,4118.52,20103.67,17225.5,18570.9,57714.83,59700.71,94363.66,93974.86
c_1,24.08,25.74,39.68,141.78,127.18,186.43,4920.64,7605.69,8837.48,5278.94,13630.43,20777.23,55513.53,51918.64,89222.89,106482.46
b_1,20.44,27.91,39.59,27.19,218.77,289.63,3763.26,7765.36,5901.25,10434.62,7090.31,17197.55,39171.55,42877.78,66192.87,89348.3
a_1,14.26,15.13,24.91,27.33,35.92,563.23,3041.23,4311.1,5182.91,6607.01,10561.03,12779.66,34501.6,,54268.85,56077.08
h_1,7.55,14.67,13.79,14.0,21.81,56.96,3124.51,3225.39,3383.28,3835.03,6825.95,6233.04,13099.97,19645.01,37594.95,34597.24
g_1,6.97,8.14,16.82,13.08,16.65,63.14,1211.73,4815.12,2243.72,2439.71,5323.77,7006.07,14571.71,17538.19,22496.63,28127.91
d_0,5.07,8.4,7.38,20.9,24.52,61.79,1183.19,2170.99,4288.1,3114.82,5619.96,4573.79,16185.37,18056.55,31576.92,28060.45
c_0,7.17,8.82,9.81,8.03,16.08,54.73,1210.38,2258.97,2757.81,5317.2,8954.37,4055.93,16725.41,16142.72,31313.56,31396.19
b_0,5.69,6.89,10.9,13.47,6.3,32.95,1140.83,1945.15,1923.4,2056.52,7402.36,4125.47,11893.88,23705.01,24337.24,24764.94
f_0,5.15,3.82,10.91,11.5,16.4,45.72,1085.63,1824.59,2501.59,3179.76,4709.23,7761.0,12565.77,14718.1,24913.57,45891.23
h_0,4.35,6.63,7.42,7.56,12.19,32.33,365.29,1554.56,1202.03,1622.32,3256.86,3113.06,4749.53,9111.89,27059.19,15917.76
a_0,3.96,4.45,5.93,9.04,10.46,,753.96,1139.06,1716.52,2074.58,2542.77,2342.57,9228.46,19034.33,18757.18,14254.54
g_0,2.46,4.74,8.14,5.56,9.51,30.02,544.19,820.09,1034.74,1327.11,3048.23,3219.42,5816.08,8494.77,10974.84,15046.15
e_0,1.81,3.96,6.21,5.64,9.42,31.79,786.45,889.57,1550.8,1596.37,3013.8,2136.87,7161.24,9744.24,15804.6,29115.2
