,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.67,8.11,5.74,5.62,4.75,4.6,2.2,1.81,3.89,1.67,,1.93,1.63,1.43,1.63,1.83
e_1,3.43,0.67,4.36,8.53,7.66,5.6,2.27,2.42,2.57,2.25,2.32,2.1,1.44,1.71,,1.83
d_1,6.77,6.85,0.65,6.93,5.65,5.68,2.29,,1.55,3.97,1.89,1.75,1.78,1.48,2.09,1.12
c_1,5.71,5.62,5.78,0.65,7.6,5.64,2.83,1.47,2.66,,1.83,1.92,2.81,1.51,2.07,2.05
b_1,7.04,4.9,7.62,3.47,0.63,6.69,2.41,2.91,3.03,2.47,2.78,,2.15,1.66,1.96,1.9
a_1,8.28,7.07,7.5,8.22,4.02,0.57,3.75,3.36,2.57,3.54,2.55,3.74,,1.83,2.19,2.28
h_1,6.0,5.49,6.56,4.22,5.22,4.06,0.62,1.64,2.17,1.55,1.48,1.52,1.62,,1.48,1.52
d_0,4.85,3.26,,4.48,4.46,4.07,2.09,0.72,2.0,2.39,1.65,1.55,1.69,1.44,1.68,1.4
g_1,4.31,5.63,7.14,6.85,5.73,5.54,2.13,2.18,0.57,1.72,1.84,2.95,1.63,1.3,1.98,
c_0,5.44,4.59,2.43,,5.52,4.2,2.13,1.52,2.54,0.7,1.79,2.16,2.11,1.46,1.49,1.77
f_0,,5.52,5.42,5.47,3.92,5.79,3.03,1.75,2.17,1.59,0.69,2.13,1.48,1.5,1.53,0.92
b_0,5.25,5.56,5.21,5.96,,3.81,2.47,2.54,1.66,1.18,1.66,0.67,2.72,1.49,1.92,1.26
a_0,7.43,6.77,6.53,5.48,5.82,,2.8,2.0,2.46,1.71,2.28,1.05,0.65,,,1.62
h_0,5.17,4.02,5.63,4.85,4.84,5.47,,1.69,1.85,1.43,1.55,2.03,,,1.71,1.16
e_0,7.12,,5.58,5.01,4.92,5.68,3.21,1.79,3.06,2.67,1.53,2.47,,1.48,0.62,
g_0,4.33,5.56,5.31,4.66,5.34,5.05,1.59,1.91,,1.8,2.26,2.03,1.89,1.26,,
