,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.66,0.75,1.22,1.03,1.14,0.99,0.52,0.48,0.5,0.38,0.44,0.38,0.34,0.37,0.33,0.49
f_1,1.21,0.65,1.12,0.93,1.03,1.04,0.4,0.43,0.48,0.38,0.4,0.35,0.25,0.36,0.35,0.3
c_1,0.88,1.16,0.64,1.42,1.28,1.0,0.48,0.26,0.46,0.46,0.36,0.37,0.37,0.36,0.38,0.33
d_1,1.35,1.29,1.03,0.63,1.04,0.85,0.46,0.54,0.35,0.46,0.4,0.45,0.31,0.4,0.25,0.34
b_1,1.18,1.29,0.74,1.28,0.62,1.26,0.58,0.45,0.59,0.53,0.43,0.56,0.34,0.4,0.31,0.38
a_1,1.42,1.37,1.34,1.41,0.77,0.58,0.65,0.59,0.63,0.56,0.59,0.76,0.44,0.58,0.44,0.59
h_1,1.7,1.95,1.83,1.6,1.56,1.49,0.55,0.62,0.76,0.56,0.55,0.56,0.57,0.5,0.48,0.51
d_0,1.19,1.87,2.28,2.3,1.98,1.71,0.98,0.58,0.85,0.58,0.62,0.58,0.6,0.61,0.54,0.63
g_1,1.83,2.05,2.07,2.05,1.71,1.57,0.69,0.78,0.53,0.68,0.7,0.7,0.45,0.6,0.56,0.59
c_0,2.11,1.97,2.86,1.3,1.87,1.62,0.93,1.14,0.87,0.56,0.7,0.81,0.54,0.73,0.5,0.67
f_0,1.89,2.66,2.28,1.97,1.84,1.58,0.97,0.79,0.62,0.7,0.57,0.74,0.64,0.63,0.4,0.87
b_0,1.99,2.15,2.65,1.72,2.36,1.66,1.05,0.91,0.94,0.47,0.72,0.53,0.57,0.81,0.5,0.71
h_0,2.17,2.56,1.96,2.14,2.1,1.91,1.14,0.88,1.13,0.83,0.71,0.83,0.76,0.75,0.67,0.68
a_0,2.17,2.37,2.42,2.17,2.51,2.83,1.16,0.86,1.05,0.73,0.8,0.5,0.69,0.53,0.68,0.67
g_0,2.38,2.39,2.22,2.26,2.57,2.1,0.97,0.94,1.23,0.88,0.88,0.89,0.57,0.81,0.73,0.77
e_0,2.63,2.88,2.88,2.41,2.39,1.9,1.11,0.93,1.02,0.94,0.53,0.89,0.7,0.79,0.58,0.54
