,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,1.58,1.64,2.06,1.7,1.53,3.35,3.37,3.18,5.41,3.6,3.82,4.57,3.6,3.44,4.94
f_1,2.3,2.47,1.48,1.75,1.57,1.65,2.86,3.01,3.0,3.68,3.45,2.86,4.19,3.42,2.66,4.12
d_1,1.64,1.77,2.54,1.39,1.63,1.72,3.37,5.31,3.04,3.35,3.98,3.74,4.72,4.04,4.29,4.42
c_1,1.53,1.59,1.78,2.74,2.55,1.78,3.01,2.8,3.37,3.01,3.26,3.64,4.37,3.09,3.64,4.33
b_1,1.53,1.75,1.75,1.59,2.93,2.8,3.13,3.37,3.24,3.37,2.97,3.52,4.59,3.0,3.56,4.5
a_1,1.72,1.74,1.7,1.66,1.43,3.23,3.74,3.58,3.69,3.42,4.27,4.19,5.05,3.96,4.34,4.63
h_1,1.57,2.12,1.8,1.66,1.76,1.49,4.34,3.47,3.85,3.72,3.68,3.9,4.16,3.97,4.05,5.71
c_0,1.68,1.95,1.64,1.67,1.66,1.68,3.69,4.48,3.69,4.28,5.86,3.96,5.21,4.75,4.14,5.01
g_1,1.58,1.68,2.3,1.53,1.88,1.77,3.0,3.81,4.78,3.34,3.68,4.42,4.2,4.07,3.99,3.87
d_0,1.52,1.74,1.47,2.63,2.08,1.66,3.24,2.93,3.6,4.37,3.84,3.73,4.72,3.78,3.9,4.85
b_0,1.84,1.84,1.79,1.87,1.68,1.22,3.5,3.27,3.35,3.61,4.69,3.84,4.53,6.64,4.11,4.69
f_0,1.43,1.62,1.78,1.93,1.93,1.78,3.45,3.73,3.3,4.18,3.88,4.85,4.9,4.37,6.52,4.51
h_0,1.77,2.0,1.69,1.7,1.81,1.65,2.68,3.36,3.95,3.79,4.03,3.5,4.16,3.79,3.71,5.28
a_0,1.67,1.93,1.81,2.0,1.99,1.15,3.48,3.69,3.49,3.87,3.12,3.75,5.04,5.31,3.8,4.47
e_0,1.57,2.31,1.56,1.77,1.8,1.76,3.48,3.86,3.42,3.69,3.99,3.42,4.99,4.18,5.48,4.87
g_0,1.51,1.68,2.14,1.84,1.77,1.65,3.01,3.67,3.27,3.48,4.14,5.06,4.39,3.92,4.08,4.11
