,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.42,1.37,1.41,1.88,1.51,1.44,2.86,2.89,4.8,3.01,3.21,3.34,3.82,4.37,2.64,3.84
f_1,2.08,2.47,1.44,1.48,1.34,1.33,2.56,2.59,3.15,3.08,3.2,2.4,3.11,3.37,2.7,3.57
d_1,1.39,1.54,2.57,1.28,1.42,1.48,2.96,2.77,2.66,4.98,3.82,3.4,3.41,3.93,3.58,4.01
c_1,1.34,1.49,1.53,2.62,2.37,1.43,2.89,2.7,2.54,2.01,2.29,3.12,3.26,3.7,3.22,3.63
b_1,1.42,1.55,1.51,1.24,2.77,2.45,2.91,2.87,3.02,2.81,2.48,3.57,2.45,4.39,3.17,4.51
a_1,1.57,1.59,1.44,1.51,1.23,3.33,3.31,3.22,3.0,3.32,3.43,3.1,3.28,4.36,4.04,4.74
h_1,1.51,1.94,1.66,1.58,1.41,1.17,4.21,3.82,3.15,3.22,3.08,3.46,3.41,3.26,3.57,5.35
g_1,1.39,1.33,2.1,1.66,1.44,1.31,2.73,4.54,3.39,3.23,3.21,4.5,3.38,4.48,3.71,3.36
d_0,1.35,1.5,1.35,2.46,1.66,1.56,3.07,3.09,4.17,2.67,2.99,3.29,3.36,4.33,3.82,4.14
c_0,1.7,1.59,1.42,1.58,1.55,1.44,3.03,3.1,3.81,4.39,5.62,3.95,4.6,4.91,3.73,4.4
b_0,1.58,1.59,1.43,1.9,1.41,1.27,3.13,3.08,3.75,2.8,4.56,3.65,6.02,4.57,3.83,4.35
f_0,1.3,1.46,1.62,1.64,1.44,1.84,2.92,2.93,4.12,3.73,3.28,4.98,4.19,4.97,6.5,4.42
a_0,1.54,1.81,1.62,1.52,1.72,1.31,3.14,2.93,3.33,3.17,3.02,3.51,4.8,4.6,4.12,4.41
h_0,1.46,2.04,1.67,1.65,1.4,1.43,2.56,3.06,3.1,3.08,3.35,2.89,3.07,3.6,3.9,5.04
e_0,1.43,1.86,1.54,1.61,1.55,1.52,3.35,3.11,3.07,3.14,3.22,2.87,3.31,4.21,5.27,4.67
g_0,1.33,1.62,2.2,1.57,1.41,1.31,2.65,2.93,2.89,3.71,3.31,4.58,3.19,3.79,3.81,3.97
