,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.82,0.77,0.86,0.66,0.71,0.73,0.98,0.95,1.63,0.7,1.35,0.97,0.97,1.14,1.09,1.09
e_1,0.66,1.78,0.84,1.0,0.83,0.79,0.92,0.9,0.88,1.58,0.91,1.13,1.05,1.04,0.8,0.98
f_1,0.73,1.35,1.83,0.82,0.74,0.63,0.77,0.89,0.89,0.99,1.0,0.67,1.0,0.98,0.66,0.74
c_1,0.81,0.71,0.74,2.06,1.39,0.85,0.98,0.94,0.6,0.87,0.68,1.05,0.91,0.78,0.84,0.94
b_1,0.93,0.67,0.9,0.79,2.21,1.34,1.06,0.93,0.88,0.81,0.68,0.89,0.9,0.61,1.06,0.99
a_1,0.92,0.84,0.91,0.84,0.68,2.88,1.07,0.97,0.86,1.04,0.87,1.02,1.11,0.62,1.21,1.04
h_1,0.94,0.79,1.03,0.92,0.86,0.82,1.67,1.21,0.93,0.88,1.03,0.94,0.84,1.0,1.08,1.32
g_1,1.31,0.68,0.63,0.87,0.89,0.81,1.1,2.04,1.02,0.83,1.03,1.45,1.04,1.21,1.34,0.92
c_0,0.97,0.88,0.88,0.73,0.69,0.84,1.02,1.1,1.44,1.08,1.81,1.08,1.15,1.51,1.11,1.15
d_0,0.65,0.88,0.93,1.47,0.89,0.76,1.05,1.04,0.66,1.43,0.83,1.11,1.03,0.96,1.07,1.04
b_0,1.08,0.9,0.86,0.84,0.55,0.69,1.11,1.13,1.09,1.0,1.63,0.96,1.11,2.23,1.07,1.2
f_0,1.0,0.65,0.81,0.86,0.84,1.07,1.25,1.18,1.08,0.91,1.15,1.67,1.19,1.18,2.28,1.15
h_0,0.99,0.88,1.13,0.87,0.81,0.68,0.79,1.26,1.03,0.87,0.93,0.94,0.83,1.17,0.83,1.24
a_0,1.03,0.88,0.89,0.95,0.76,0.68,1.1,1.14,1.09,0.99,1.11,1.08,1.1,1.82,0.94,1.06
e_0,1.02,0.74,0.94,0.87,0.86,0.86,1.14,1.05,1.17,0.94,1.21,1.06,1.24,1.15,1.98,1.18
g_0,1.26,0.76,0.86,0.81,0.68,0.86,1.0,0.98,1.12,0.82,1.05,1.41,0.98,1.2,1.06,0.99
