,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.78,0.86,1.1,0.88,0.9,0.65,0.88,0.72,0.58,0.54,0.54,0.58,,0.5,0.58
f_1,1.29,1.0,0.96,1.1,1.11,0.92,0.6,0.61,0.65,0.62,0.63,,0.5,0.48,0.49,0.46
d_1,1.16,1.05,1.0,0.85,1.13,0.73,0.7,,0.49,0.87,0.68,0.75,0.56,0.67,0.52,0.36
c_1,0.91,0.91,1.18,1.0,1.25,1.1,0.73,0.4,0.72,,0.69,0.85,0.7,0.54,0.68,0.54
b_1,1.13,0.9,0.89,0.8,1.0,1.44,0.68,0.77,0.66,0.54,,0.78,0.96,0.63,,0.46
a_1,1.11,1.08,1.36,0.91,0.69,1.0,0.76,0.95,,1.03,0.8,0.59,0.75,,,
h_1,1.54,1.67,1.42,1.38,1.47,1.32,1.0,1.04,1.16,0.81,0.9,0.61,,0.73,0.63,0.97
d_0,1.14,1.63,,2.48,1.3,1.05,0.96,1.0,1.02,1.02,0.94,1.1,0.71,0.7,1.13,0.77
g_1,1.38,1.54,2.03,1.39,1.52,,0.86,0.98,1.0,0.97,0.89,0.96,0.75,0.99,1.02,
c_0,1.71,1.61,1.16,,1.86,0.97,1.24,0.99,1.03,1.0,1.33,0.83,0.91,0.86,,0.85
b_0,1.84,1.58,1.46,1.45,,1.25,1.11,1.06,1.12,0.75,1.0,0.87,0.99,0.95,1.2,0.95
f_0,1.83,,1.34,1.17,1.28,1.69,1.65,0.91,1.04,1.21,1.15,1.0,0.99,1.02,,0.86
h_0,1.73,1.99,1.8,1.44,1.04,1.33,,1.4,1.33,1.1,1.01,1.01,,0.91,0.89,0.98
e_0,,2.09,1.5,1.84,1.59,,1.36,1.43,1.01,1.16,1.05,0.99,1.1,1.0,,1.07
a_0,2.0,2.05,1.92,1.46,,,1.59,0.88,0.98,,0.83,,1.13,,1.0,
g_0,1.72,2.16,2.75,1.87,2.16,,1.03,1.29,,1.18,1.06,1.17,1.02,0.94,,
