,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.9,1.01,0.98,0.92,0.75,0.98,0.89,1.01,0.89,0.87,0.89,0.99,0.75,1.03
e_1,0.79,1.0,1.01,1.11,1.06,1.04,1.1,1.31,0.89,1.06,0.92,1.11,0.98,1.16,1.12,1.04
d_1,1.1,0.98,1.0,1.03,0.97,0.92,0.9,0.91,1.36,0.77,1.12,0.98,1.01,0.94,0.98,0.8
c_1,1.0,0.91,0.97,1.0,1.37,0.97,1.03,0.68,0.97,0.96,0.79,0.93,0.99,0.89,0.99,1.01
b_1,1.02,0.94,1.03,0.73,1.0,1.43,1.17,1.03,1.04,1.18,1.15,0.98,1.1,0.95,0.87,1.0
a_1,1.09,0.96,1.11,1.03,0.7,1.0,1.4,1.22,1.01,1.21,1.22,1.21,1.11,1.19,1.22,1.24
h_1,1.31,0.91,1.13,0.96,0.84,0.75,1.0,0.89,0.98,1.22,1.07,0.93,0.98,0.96,1.0,1.16
d_0,0.97,0.76,1.11,1.52,1.02,0.8,1.06,1.0,0.76,0.96,1.02,0.99,1.05,0.95,1.05,1.05
c_0,1.09,1.13,0.73,0.98,0.99,0.96,1.06,1.44,1.0,1.08,1.53,0.91,1.01,1.09,1.04,1.08
g_1,0.93,0.94,1.38,1.0,0.9,0.83,0.82,0.99,0.93,1.0,1.02,1.24,0.95,0.96,1.14,0.92
b_0,1.17,1.08,0.91,1.29,0.87,0.81,0.93,0.98,0.69,1.07,1.0,0.97,0.99,1.29,1.1,1.11
f_0,1.29,0.87,1.02,1.12,0.98,0.84,1.04,1.04,1.03,0.83,0.96,1.0,1.06,0.89,1.56,0.78
h_0,1.13,1.01,0.97,1.06,0.91,0.88,1.04,1.0,0.98,1.05,1.03,0.97,1.0,0.93,0.86,1.22
a_0,0.99,0.89,1.04,1.07,1.06,0.81,1.01,0.99,1.02,1.02,0.78,1.05,1.08,1.0,1.05,1.09
e_0,1.33,0.91,1.01,0.99,1.23,0.87,0.99,0.91,0.95,0.85,0.96,0.65,1.19,0.91,1.0,0.96
g_0,0.97,0.93,1.24,0.99,1.05,0.77,0.84,0.97,0.9,1.13,0.93,1.23,0.82,0.98,1.12,1.0
