,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.25,0.4,0.23,0.23,0.19,0.13,0.38,0.28,0.42,0.47,0.47,0.11,0.67,0.39,0.26,0.49
e_1,0.26,2.29,0.24,0.17,0.21,0.14,0.44,0.35,0.91,0.52,0.49,0.43,0.49,0.37,0.08,0.58
c_1,0.22,0.17,2.36,0.26,0.33,0.17,0.42,0.38,0.48,0.07,0.44,0.47,0.62,0.32,0.42,0.53
d_1,0.28,0.2,0.2,2.37,0.23,0.17,0.43,0.39,0.1,0.84,0.57,0.42,0.67,0.35,0.36,0.37
b_1,0.23,0.2,0.23,0.22,2.53,0.3,0.44,0.38,0.5,0.51,0.06,0.46,0.5,0.4,0.41,0.56
a_1,0.22,0.31,0.17,0.29,0.17,3.07,0.45,0.36,0.43,0.47,0.46,0.43,0.5,,0.38,0.4
h_1,0.48,0.39,0.38,0.45,0.36,0.24,2.81,0.73,0.72,0.76,0.72,0.65,0.33,0.67,0.63,1.31
g_1,0.35,0.22,0.4,0.62,0.34,0.29,0.67,3.15,0.73,0.78,0.88,1.47,0.85,0.81,0.93,0.44
d_0,0.42,0.45,0.77,0.12,0.29,0.3,0.64,0.63,2.15,0.7,0.75,0.93,0.96,0.54,0.71,0.96
c_0,0.44,0.44,0.18,0.46,0.28,0.38,0.82,0.63,0.88,2.24,1.56,0.71,1.1,0.84,0.74,0.88
b_0,0.49,0.43,0.4,0.41,0.14,0.28,0.72,0.74,0.8,0.97,2.48,0.8,1.31,1.46,0.81,1.07
f_0,0.17,0.33,0.53,0.41,0.4,0.35,0.8,0.74,1.02,0.98,0.61,2.63,1.12,0.52,1.54,1.14
h_0,0.65,0.42,0.46,0.36,0.32,0.23,0.18,0.89,0.76,0.57,0.71,0.71,0.36,0.66,0.54,1.14
a_0,0.45,0.49,0.44,0.4,0.43,,0.79,0.44,0.62,0.73,0.88,0.59,0.95,2.82,0.38,0.85
e_0,0.46,0.15,0.4,0.38,0.48,0.37,0.82,0.72,1.03,0.81,0.76,1.02,1.5,0.71,2.93,0.94
g_0,0.41,0.4,0.45,0.58,0.31,0.29,0.62,0.29,0.72,0.63,0.51,0.88,0.99,0.67,0.64,0.42
