,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.05,2.2,2.02,1.73,1.82,1.66,0.79,0.72,0.52,0.97,0.69,0.53,0.45,0.49,0.32,0.58
f_1,2.07,1.06,2.34,2.14,1.88,1.51,0.65,0.59,0.78,0.64,0.54,0.64,0.37,0.51,0.5,0.42
e_1,2.35,1.38,1.06,2.28,2.26,1.92,0.81,0.7,0.86,0.75,0.69,0.78,0.52,0.59,0.56,0.79
c_1,2.93,2.59,2.08,1.06,3.14,1.84,0.74,0.79,0.79,0.45,0.56,0.59,0.53,0.59,0.52,0.61
b_1,2.6,3.16,2.39,1.44,1.06,3.07,1.23,0.86,1.04,0.7,1.14,0.76,0.63,0.74,0.63,0.67
a_1,3.66,3.6,3.32,3.67,1.72,1.07,1.5,1.1,1.34,1.06,1.08,1.13,0.97,1.2,0.92,0.75
h_1,4.77,5.69,5.63,6.77,4.63,4.46,1.31,1.6,2.1,1.72,1.48,1.63,1.54,1.19,1.28,1.23
c_0,4.17,7.43,6.94,8.65,5.31,5.46,2.41,1.47,2.6,2.45,2.42,1.8,1.6,1.95,1.44,1.54
g_1,6.68,7.24,6.34,6.58,5.94,4.61,1.77,1.76,1.34,1.83,1.73,1.76,1.25,1.67,1.48,1.32
d_0,8.01,6.47,4.17,7.4,7.53,5.55,2.77,1.93,2.94,1.51,2.27,1.74,1.55,1.92,1.58,1.6
b_0,5.97,7.53,6.58,10.23,7.91,5.56,3.0,1.34,2.79,2.16,1.5,2.43,1.79,2.35,1.59,1.91
f_0,7.52,12.64,6.63,8.51,6.51,6.02,2.79,2.36,2.18,2.43,2.04,1.5,1.82,2.34,1.17,2.43
h_0,8.61,9.77,7.95,8.77,8.38,6.68,4.02,2.52,3.22,2.6,2.55,2.43,2.46,2.1,2.16,1.93
a_0,8.96,10.87,9.25,11.92,9.74,11.1,3.6,2.26,3.57,3.58,1.61,2.5,2.28,1.57,2.02,2.46
g_0,10.27,10.8,9.59,10.57,8.97,7.19,3.27,2.89,3.84,3.19,2.59,3.06,1.81,2.4,2.44,2.71
e_0,9.11,13.46,12.88,8.58,9.35,9.68,3.94,3.37,3.39,3.83,2.73,1.63,2.38,2.53,1.86,1.61
