,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.93,1.2,1.13,0.9,1.02,1.46,1.11,1.0,1.06,1.09,1.06,1.21,1.22,1.03
f_1,1.28,1.0,0.85,1.01,0.98,0.92,0.83,1.0,1.01,0.98,0.93,1.03,0.8,0.91,0.81,1.05
d_1,1.08,1.18,1.0,0.96,0.82,0.89,1.04,1.0,0.75,1.24,1.03,0.99,1.03,0.91,1.02,0.8
c_1,0.83,0.98,1.04,1.0,1.4,0.9,0.99,0.7,1.14,0.78,0.96,0.98,0.98,0.94,0.98,0.95
b_1,0.89,1.01,1.2,0.72,1.0,1.67,1.07,0.89,1.03,1.2,1.1,0.99,0.96,0.99,0.92,1.04
a_1,1.12,1.08,1.11,1.11,0.61,1.0,1.22,1.03,1.07,0.93,1.07,0.98,1.17,0.97,1.26,1.11
h_1,0.99,1.21,1.0,0.96,0.91,0.83,1.0,1.02,1.15,0.89,0.97,0.93,1.01,0.91,0.87,1.27
d_0,0.7,1.02,0.99,1.46,1.13,0.92,0.96,1.0,1.14,0.75,0.95,0.98,1.13,0.93,1.01,1.14
g_1,0.88,1.0,1.36,0.88,0.97,0.94,0.84,0.91,1.0,1.05,0.9,1.18,0.89,1.01,1.0,0.91
c_0,0.96,1.06,0.79,1.3,0.83,1.04,1.18,1.29,1.0,1.0,1.35,1.02,1.05,1.17,1.05,1.15
b_0,0.95,1.08,0.93,1.13,0.96,0.88,1.04,1.03,1.11,0.71,1.0,0.92,1.2,1.24,1.05,1.12
f_0,0.91,0.96,1.04,0.99,1.01,0.99,1.13,1.12,0.84,0.95,0.99,1.0,1.13,1.0,1.4,0.87
h_0,0.99,1.24,0.98,1.0,1.01,0.88,0.96,0.93,1.14,0.94,0.84,0.87,1.0,0.79,0.88,1.12
a_0,0.87,1.09,1.04,1.08,1.1,0.99,1.16,1.07,0.96,0.85,0.8,0.99,1.27,1.0,1.02,0.98
e_0,0.84,1.21,1.0,1.06,1.12,0.86,1.1,0.96,0.96,0.98,0.88,0.7,1.09,0.98,1.0,1.12
g_0,0.97,1.0,1.22,1.04,0.92,0.91,0.79,0.85,1.07,0.88,0.91,1.18,0.89,0.98,0.89,1.0
