,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,10.36,0.75,0.57,0.91,0.65,0.76,1.07,2.12,0.93,0.94,1.0,1.01,0.92,1.0,0.96,0.71
f_1,2.23,11.07,0.65,0.7,0.53,0.52,0.78,1.02,0.84,0.87,0.95,0.56,0.88,0.96,0.86,0.51
d_1,0.63,0.82,13.08,0.49,0.58,0.66,1.04,0.66,1.0,2.31,1.31,1.05,1.09,1.07,1.06,1.28
c_1,0.57,0.66,0.7,11.61,1.68,0.78,0.9,0.82,0.76,0.48,0.65,0.83,0.92,0.83,0.92,0.96
b_1,0.56,0.66,0.72,0.68,12.81,1.69,1.0,0.78,0.89,0.9,0.64,1.02,0.95,0.63,0.82,1.16
a_1,0.51,0.67,0.79,0.86,0.88,18.85,0.84,0.85,0.97,1.03,0.99,1.08,1.06,0.8,0.93,0.94
h_1,0.69,1.33,0.97,0.67,0.61,0.56,3.27,0.98,1.45,1.0,1.0,1.04,0.73,1.25,1.94,1.16
d_0,0.75,0.76,0.53,2.42,0.85,0.78,0.88,1.93,0.96,0.61,0.94,0.96,1.24,1.0,0.85,0.88
g_1,0.6,0.61,1.65,0.87,0.69,0.67,0.91,0.8,4.38,1.03,1.06,2.15,1.06,1.15,1.05,1.43
c_0,0.85,0.85,0.81,0.71,0.68,0.76,1.07,1.24,1.27,1.97,3.34,1.36,1.36,1.67,1.26,1.07
b_0,1.01,0.94,0.8,0.92,0.55,0.43,1.26,0.99,1.28,0.93,2.5,1.18,1.56,3.3,1.18,1.07
f_0,0.46,0.55,1.19,0.86,0.87,0.89,1.24,1.02,1.28,1.02,1.19,2.61,1.31,1.16,1.47,3.59
h_0,0.78,1.26,0.92,0.79,0.8,0.68,0.67,0.81,1.47,0.86,1.11,1.06,0.84,1.24,1.42,1.11
a_0,0.83,1.1,1.05,0.82,0.6,0.39,1.2,0.91,1.29,1.05,1.38,1.3,1.51,3.34,1.69,1.0
g_0,0.53,0.68,2.31,0.68,0.78,0.73,0.87,0.61,0.75,1.07,1.06,2.07,1.11,0.81,0.96,1.27
e_0,0.5,1.1,1.15,0.84,0.68,0.61,1.27,0.78,1.24,0.94,1.22,1.19,1.18,1.03,1.42,3.16
