,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.9,0.2,0.2,0.26,0.17,0.11,0.18,0.19,0.37,0.16,0.21,0.16,0.2,0.08,0.13,0.15
d_1,0.23,0.9,0.25,0.14,0.16,0.13,0.19,0.2,0.09,0.36,0.19,0.22,0.21,0.13,0.14,0.14
f_1,0.42,0.21,0.9,0.19,0.13,0.1,0.18,0.14,0.19,0.18,0.05,0.17,0.14,0.07,0.11,0.13
c_1,0.21,0.22,0.21,0.89,0.34,0.12,0.16,0.17,0.2,0.06,0.16,0.12,0.2,0.09,0.09,0.12
b_1,0.19,0.22,0.24,0.17,0.88,0.27,0.19,0.18,0.2,0.18,0.16,0.08,0.21,0.12,0.06,0.14
a_1,0.21,0.25,0.25,0.22,0.15,0.87,0.2,0.18,0.17,0.2,0.15,0.19,0.19,0.14,0.05,0.15
h_1,0.26,0.29,0.35,0.23,0.22,0.15,0.57,0.29,0.21,0.23,0.18,0.19,0.15,0.17,0.14,0.26
g_1,0.25,0.43,0.22,0.23,0.22,0.15,0.2,0.56,0.23,0.23,0.33,0.21,0.21,0.17,0.12,0.12
d_0,0.28,0.17,0.23,0.47,0.23,0.17,0.23,0.21,0.45,0.16,0.21,0.14,0.23,0.17,0.11,0.22
c_0,0.3,0.34,0.31,0.16,0.16,0.15,0.23,0.24,0.21,0.45,0.22,0.4,0.27,0.18,0.2,0.17
f_0,0.24,0.36,0.17,0.27,0.22,0.16,0.23,0.23,0.28,0.22,0.46,0.19,0.27,0.33,0.13,0.24
b_0,0.27,0.3,0.32,0.24,0.1,0.14,0.25,0.2,0.25,0.26,0.21,0.45,0.29,0.16,0.32,0.19
h_0,0.22,0.3,0.4,0.23,0.2,0.16,0.13,0.32,0.25,0.23,0.21,0.23,0.13,0.17,0.12,0.24
e_0,0.15,0.33,0.27,0.25,0.23,0.18,0.23,0.27,0.3,0.23,0.21,0.23,0.3,0.41,0.16,0.23
a_0,0.26,0.3,0.31,0.29,0.2,0.05,0.26,0.21,0.29,0.21,0.24,0.26,0.29,0.16,0.4,0.21
g_0,0.23,0.45,0.23,0.25,0.2,0.14,0.25,0.16,0.24,0.21,0.32,0.19,0.27,0.19,0.13,0.11
