,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.89,0.23,0.17,0.27,0.17,0.1,0.19,0.16,0.38,0.18,0.2,0.19,0.2,0.07,0.18,0.12
f_1,0.41,0.9,0.2,0.18,0.13,0.12,0.17,0.15,0.19,0.19,0.08,0.17,0.19,0.09,0.13,0.1
d_1,0.21,0.26,0.9,0.17,0.15,0.13,0.19,0.15,0.09,0.38,0.17,0.2,0.22,0.13,0.16,0.1
c_1,0.2,0.25,0.19,0.89,0.32,0.13,0.19,0.13,0.19,0.08,0.16,0.12,0.21,0.11,0.16,0.11
b_1,0.21,0.21,0.2,0.19,0.88,0.26,0.21,0.16,0.18,0.18,0.18,0.06,0.17,0.15,0.15,0.1
a_1,0.23,0.23,0.27,0.2,0.16,0.88,0.21,0.16,0.17,0.2,0.17,0.15,0.22,0.11,0.16,0.04
h_1,0.25,0.41,0.26,0.26,0.17,0.15,0.58,0.27,0.25,0.23,0.18,0.2,0.15,0.17,0.23,0.12
g_1,0.28,0.24,0.39,0.22,0.14,0.18,0.24,0.56,0.19,0.24,0.29,0.21,0.18,0.15,0.14,0.14
d_0,0.28,0.31,0.14,0.5,0.22,0.15,0.19,0.18,0.42,0.15,0.22,0.17,0.24,0.13,0.2,0.13
c_0,0.3,0.29,0.35,0.15,0.15,0.17,0.22,0.22,0.25,0.44,0.25,0.41,0.23,0.18,0.2,0.18
f_0,0.25,0.21,0.28,0.31,0.23,0.15,0.25,0.17,0.28,0.24,0.45,0.24,0.22,0.33,0.22,0.14
b_0,0.27,0.29,0.34,0.26,0.13,0.11,0.26,0.22,0.25,0.25,0.23,0.47,0.26,0.18,0.21,0.36
h_0,0.27,0.35,0.31,0.25,0.18,0.17,0.15,0.26,0.25,0.22,0.19,0.21,0.16,0.12,0.27,0.14
e_0,0.13,0.34,0.29,0.31,0.2,0.18,0.26,0.21,0.21,0.25,0.23,0.23,0.27,0.4,0.2,0.12
g_0,0.24,0.23,0.44,0.25,0.18,0.15,0.25,0.13,0.21,0.24,0.35,0.2,0.22,0.2,0.16,0.14
a_0,0.25,0.34,0.34,0.28,0.22,0.08,0.28,0.2,0.24,0.18,0.23,0.21,0.26,0.14,0.21,0.4
