,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.06,1.37,2.08,2.4,2.0,1.71,0.85,0.71,0.75,0.57,0.68,0.68,0.51,0.98,0.55,0.59
f_1,2.35,1.06,1.81,1.86,1.92,1.75,0.57,0.78,0.58,0.62,0.72,0.63,0.42,0.48,0.52,0.46
d_1,2.56,2.42,1.05,2.22,2.07,1.61,0.84,0.55,1.0,0.65,0.64,0.57,0.46,0.53,0.33,0.45
c_1,1.77,2.57,2.54,1.06,2.61,2.02,0.84,0.91,0.41,0.87,0.56,0.61,0.5,0.49,0.47,0.58
b_1,2.61,3.04,2.72,1.55,1.06,2.68,1.18,1.25,0.78,0.92,0.77,1.01,0.66,0.72,0.6,0.72
a_1,3.86,3.4,3.26,3.05,1.78,1.07,1.32,1.06,0.92,0.98,1.02,1.11,0.7,0.8,0.75,1.28
h_1,5.46,6.45,5.37,5.31,4.44,4.33,1.31,2.05,1.89,1.68,1.56,1.54,1.64,1.43,1.2,1.17
g_1,6.5,6.65,7.3,6.95,5.6,5.27,1.93,1.33,1.96,1.89,2.37,1.86,1.17,1.67,1.74,1.69
d_0,4.29,7.09,8.55,7.86,6.73,6.18,2.38,2.62,1.55,1.84,1.85,2.01,1.49,2.01,1.74,1.86
c_0,7.45,6.69,4.45,9.89,6.29,5.85,2.66,2.27,2.83,1.51,2.12,2.25,1.6,1.71,1.47,2.25
f_0,6.49,9.99,7.19,7.98,7.01,5.96,3.01,1.82,2.28,1.92,1.49,2.19,1.75,2.21,1.1,1.77
b_0,6.77,7.45,6.93,9.3,11.04,6.63,2.8,2.59,2.49,1.4,2.04,1.46,1.69,1.99,1.74,2.24
h_0,8.61,9.58,8.09,8.53,8.72,6.79,4.23,3.95,2.75,2.81,2.63,2.56,2.53,2.04,2.2,2.18
e_0,11.84,13.03,9.63,10.54,7.09,9.28,3.28,3.3,2.95,2.46,1.66,2.51,2.67,1.57,1.65,2.56
g_0,8.97,11.04,11.3,10.28,9.63,8.77,3.63,4.2,2.99,3.02,3.21,2.73,1.85,2.8,2.47,2.62
a_0,9.91,11.55,11.18,10.16,10.62,14.32,4.51,3.4,3.54,2.53,3.17,1.63,2.28,3.04,2.4,1.57
