,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.5,0.71,0.68,0.83,0.72,0.59,0.92,0.86,1.5,0.79,0.9,0.83,1.02,0.85,0.63,0.74
f_1,1.18,1.51,0.72,0.69,0.65,0.47,0.77,0.74,0.84,0.71,0.54,0.75,0.79,0.58,0.55,0.9
d_1,0.83,0.78,1.55,0.61,0.69,0.63,0.79,0.78,0.65,1.43,0.89,0.92,0.98,0.71,0.8,0.76
c_1,0.68,0.85,0.78,1.59,1.11,0.49,0.84,0.77,0.73,0.52,0.79,0.65,0.98,0.77,0.81,0.85
b_1,0.74,0.84,0.7,0.67,1.61,0.99,1.02,0.92,0.88,1.01,0.91,0.64,0.93,0.76,0.73,0.94
a_1,0.76,1.01,0.83,0.94,0.66,1.79,1.08,0.69,0.91,0.91,0.87,1.0,0.95,0.58,0.71,1.07
h_1,0.97,1.25,1.03,0.95,0.79,0.66,1.75,1.38,1.04,1.09,1.16,1.08,0.91,0.96,0.94,1.36
g_1,0.94,0.94,1.42,0.85,0.81,0.85,1.09,1.81,1.02,1.12,1.66,1.07,1.15,1.14,1.28,0.86
d_0,0.79,1.04,0.86,1.63,1.0,0.85,1.21,1.11,1.58,1.05,1.13,1.11,1.18,1.14,1.05,1.33
c_0,1.17,1.11,0.92,0.8,0.8,0.84,1.23,1.07,1.3,1.68,1.36,2.19,1.39,1.23,1.06,1.42
f_0,0.9,0.88,1.1,1.18,0.94,0.91,1.27,1.04,1.2,1.18,1.72,1.31,1.37,1.21,1.88,1.31
b_0,1.1,1.1,1.14,1.12,0.78,0.64,1.17,1.19,1.19,0.86,1.24,1.71,1.52,1.93,1.15,1.4
h_0,0.98,1.45,1.09,1.06,0.93,0.82,0.96,1.33,1.31,1.08,1.23,1.07,1.1,0.94,1.09,1.53
a_0,1.07,1.31,1.3,1.01,0.96,0.8,1.32,1.13,1.24,1.14,1.23,0.99,1.57,1.74,1.25,1.32
e_0,0.91,1.43,1.14,0.99,1.08,0.78,1.43,0.99,1.4,1.42,0.99,1.26,1.37,1.2,1.75,1.44
g_0,1.02,0.97,1.71,1.16,0.89,0.74,1.17,1.17,1.07,1.2,1.42,1.23,1.23,1.17,1.03,1.1
