,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8642.23,264.47,262.91,401.95,380.91,1795.06,212919.18,430582.38,437158.26,980830.92,1338158.93,,7375483.41,3504085.41,8077106.58,8094982.27
e_1,161.75,9183.61,158.65,180.83,348.25,1378.43,180336.45,860524.64,495607.25,862194.86,1875503.11,1998817.61,9151522.09,,10219902.81,17070867.97
c_1,125.49,152.41,16688.51,336.19,756.77,1906.15,168504.0,516283.3,518542.8,,1174023.86,1743630.08,8683430.89,6176514.94,6141537.84,22312345.74
d_1,150.66,124.53,155.08,29441.46,329.78,1186.63,199924.17,,536357.08,1946285.98,1775996.9,1465369.44,11554641.72,7328221.59,6021666.49,21553547.2
b_1,142.74,113.77,165.3,365.03,40538.9,3035.47,136141.0,451185.65,595499.05,738366.91,,2342807.9,10371012.49,8244759.29,5042891.67,22054046.18
a_1,123.27,131.0,180.82,369.89,323.8,204128.39,188119.66,477977.13,460802.0,,1646913.93,2278094.67,12539333.72,8994165.8,,
h_1,623.15,490.53,734.98,1337.82,1840.3,5453.39,8269085.84,1604946.75,2310867.15,4434352.36,5894713.99,6734367.57,,30871641.33,22237751.48,83204674.98
d_0,667.47,620.65,2093.39,,1500.14,5585.73,876500.03,14182625.67,2227714.61,4247387.39,7649657.81,8791308.3,50517100.57,40582880.35,48234520.37,103844208.82
g_1,503.09,291.62,765.02,1767.4,1930.68,5043.14,632193.11,1542033.91,33276486.98,3755273.7,6589433.28,10008876.58,29076299.05,29661493.59,29378313.88,
c_0,659.2,612.96,,1798.16,1545.96,,765402.99,1597470.66,2530113.06,32475358.67,20398033.81,12422403.65,50888672.63,36071808.11,38109257.42,97605861.94
b_0,548.66,824.31,766.8,1161.17,,8046.6,1004215.36,2790730.25,2778302.52,5405883.95,64304093.51,10120719.39,39519805.76,32208329.61,68055114.97,102308594.66
f_0,,440.6,1066.94,1952.27,2315.12,6064.6,916967.94,3494767.94,3162913.61,3501551.05,9309427.97,84492976.12,32275925.74,62421291.71,,106765602.75
h_0,925.09,682.69,1388.68,2716.21,3977.47,10322.09,,3898802.23,4802791.94,9874434.12,13126373.42,14371279.25,,74994652.61,,211749158.13
e_0,408.62,,1577.3,1393.29,2427.71,10298.86,1310401.58,1951768.33,3273097.08,5905013.99,6422487.88,7286364.91,44533722.67,390887428.84,,105223710.75
a_0,523.31,585.38,1275.79,1408.69,2325.35,,959396.7,3482355.58,2941567.91,5156136.02,5952333.38,,,,428144289.31,
g_0,633.04,874.54,1527.23,4317.0,3711.54,,1312553.31,3334954.29,,6861063.87,9949759.0,28476754.31,43119953.7,76978638.12,,
