,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.08,2.63,2.46,2.51,2.2,2.07,0.58,0.41,0.48,0.68,0.49,0.41,0.32,0.23,0.43,0.42
e_1,2.25,1.09,1.52,2.8,2.51,2.1,0.79,0.72,0.49,0.55,0.5,0.57,0.34,0.4,0.51,0.65
f_1,2.38,2.41,1.1,2.48,2.31,2.14,0.55,0.7,0.47,0.5,0.48,0.62,0.26,0.39,0.46,0.41
c_1,3.37,2.25,2.52,1.09,2.55,2.4,0.88,0.88,0.75,0.32,0.52,0.48,0.38,0.4,0.45,0.5
b_1,3.3,3.19,3.12,1.84,1.11,3.03,0.9,0.93,0.89,0.72,0.92,0.73,0.51,0.51,0.59,0.61
a_1,4.87,4.43,4.77,4.37,2.22,1.13,1.33,1.39,1.1,1.01,1.45,1.02,0.69,0.58,1.52,0.87
h_1,9.0,8.36,9.55,10.41,9.55,8.51,1.51,2.61,1.8,1.92,2.05,1.84,1.69,1.35,1.75,1.69
g_1,11.56,11.04,12.53,11.06,11.7,9.87,2.37,1.58,2.57,2.51,2.5,2.01,1.4,1.93,2.37,2.1
c_0,7.6,11.14,13.36,20.82,13.63,9.52,3.15,3.35,1.72,3.73,2.51,2.21,1.87,1.55,2.36,2.57
d_0,14.2,8.04,11.57,12.93,12.26,10.02,3.73,4.97,2.66,1.87,2.52,2.4,1.85,1.88,2.65,2.87
b_0,10.49,11.5,13.9,20.95,17.66,10.4,3.42,3.63,1.66,3.09,1.79,2.27,1.93,1.63,3.17,2.44
f_0,14.55,13.74,18.34,17.71,15.02,12.91,3.98,3.4,3.19,3.73,3.44,1.94,2.44,1.5,2.91,3.1
h_0,17.02,17.16,19.15,17.24,16.71,13.94,6.32,5.41,3.49,3.79,3.36,3.27,3.35,2.58,3.2,3.02
g_0,19.82,20.5,24.1,22.58,23.4,21.62,4.84,7.6,4.16,4.62,4.2,4.17,2.29,3.31,3.98,3.78
a_0,20.98,18.88,20.77,23.93,32.28,25.32,5.75,5.41,3.43,4.4,2.38,3.82,3.63,2.93,2.16,4.47
e_0,22.98,22.42,26.93,21.09,21.94,20.04,6.0,5.59,4.35,4.46,4.85,2.55,3.09,2.6,5.04,2.21
