,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.03,0.82,0.62,0.95,0.71,0.56,1.02,0.83,1.59,0.91,1.08,0.87,0.95,1.19,0.64,0.95
f_1,1.24,2.0,0.75,0.72,0.64,0.68,0.93,0.88,0.9,0.83,0.91,0.54,0.9,0.84,0.65,0.89
d_1,0.72,0.8,2.24,0.58,0.68,0.81,0.92,1.12,0.56,1.77,1.17,1.03,0.99,0.91,1.19,1.05
c_1,0.62,0.72,0.75,2.33,1.44,0.66,0.85,0.88,0.93,0.47,0.58,1.03,1.03,0.83,0.97,0.91
b_1,0.7,0.81,0.82,0.72,2.5,1.47,0.88,0.8,0.86,0.91,0.68,0.96,0.98,0.79,0.92,0.89
a_1,0.79,0.85,0.86,0.7,0.54,3.83,1.05,1.0,0.94,1.01,1.08,1.1,1.12,0.65,1.19,0.91
h_1,0.8,1.1,0.94,0.77,0.75,0.72,2.18,1.22,0.86,0.98,0.97,1.07,0.74,0.89,0.91,1.39
g_1,0.64,0.71,1.3,0.85,0.75,0.72,0.97,2.33,0.88,1.1,1.3,1.63,0.94,1.08,1.23,1.04
d_0,0.78,0.87,0.52,1.58,0.88,0.62,1.17,1.06,1.66,0.55,0.85,1.17,1.07,1.11,1.08,1.09
c_0,0.87,0.95,0.91,0.75,0.56,0.7,1.1,1.16,1.09,1.67,2.06,1.24,1.17,1.52,1.17,1.26
b_0,0.87,0.93,0.86,0.91,0.58,0.61,1.2,1.15,1.08,0.96,1.88,1.16,1.15,2.34,1.1,1.18
f_0,0.68,0.66,0.95,1.05,0.94,0.73,0.89,1.08,1.15,0.99,1.14,2.2,1.3,1.1,2.59,1.12
h_0,0.76,1.09,0.97,0.89,0.75,0.72,0.81,1.32,0.95,0.99,1.0,1.08,0.86,1.12,1.08,1.6
a_0,0.77,1.05,0.85,0.95,0.79,0.42,1.21,1.06,0.96,1.04,1.14,1.03,1.2,2.51,1.04,1.05
e_0,0.61,0.71,0.98,0.95,0.94,0.83,1.07,1.08,1.11,1.14,1.2,1.21,1.29,0.98,2.53,1.35
g_0,0.67,0.68,1.34,0.84,0.83,0.73,1.05,0.92,0.79,1.06,0.84,1.8,1.05,0.98,1.39,0.94
