,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.11,2.81,2.65,3.47,3.08,2.59,0.65,0.62,0.7,1.07,0.66,0.84,0.55,0.35,0.57,0.51
e_1,1.73,1.1,3.45,3.55,3.42,3.64,0.86,0.71,0.71,1.08,0.66,0.92,0.62,0.45,1.11,0.49
d_1,4.01,3.81,1.1,3.61,3.31,3.02,1.0,0.6,1.1,0.61,0.62,0.66,0.57,0.46,0.77,0.3
c_1,3.97,2.86,4.39,1.1,3.32,3.16,0.97,1.06,0.4,0.92,0.69,0.68,0.68,0.5,0.64,0.48
b_1,3.93,3.87,4.18,2.04,1.11,4.06,1.3,1.11,0.77,1.23,1.55,0.74,0.92,0.65,0.71,0.66
a_1,5.55,5.8,5.94,5.76,2.58,1.13,1.86,1.1,1.28,1.5,1.27,1.12,1.69,0.71,1.13,0.74
h_1,11.11,10.82,10.31,11.64,12.81,10.47,1.59,2.48,2.83,2.86,2.33,2.25,2.05,2.58,2.04,1.54
c_0,13.82,15.6,7.49,20.23,15.56,13.45,3.78,1.83,4.33,3.76,2.96,2.8,2.82,1.91,2.59,1.78
d_0,12.63,7.83,22.86,15.17,17.33,14.07,4.01,3.39,1.91,4.83,3.08,3.13,2.98,2.07,2.93,2.5
g_1,14.56,13.92,14.67,15.79,13.65,12.21,3.2,2.82,3.31,1.64,2.58,2.73,2.63,1.55,2.48,2.66
b_0,12.95,14.5,11.99,22.43,20.38,13.45,3.52,1.83,4.15,4.12,1.96,3.37,2.63,2.17,2.54,2.18
f_0,26.59,16.48,15.46,16.73,17.33,16.1,4.89,3.8,3.84,2.9,3.36,1.93,4.04,2.48,3.31,1.62
a_0,22.5,22.11,18.55,21.49,28.65,25.0,5.42,3.61,5.28,6.05,2.65,5.44,2.34,3.44,4.74,3.28
h_0,25.25,22.25,22.69,24.76,21.76,22.37,8.46,4.61,5.48,6.89,4.79,4.91,4.19,4.79,3.8,3.35
e_0,39.89,34.94,20.35,23.45,21.92,21.68,7.05,4.99,6.44,5.85,5.82,2.43,5.33,3.02,2.27,2.72
g_0,34.75,27.51,24.26,37.74,24.32,24.43,6.46,5.25,6.75,9.41,5.57,4.96,4.97,3.09,4.86,5.49
