,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.91,1.03,0.82,0.5,0.53,0.39,0.58,0.39,0.37,0.41,0.4,,0.36,0.32
f_1,1.37,1.0,0.97,0.84,0.8,0.65,0.42,0.53,0.41,0.46,,0.43,0.34,0.27,0.3,0.24
d_1,1.1,1.03,1.0,0.98,1.0,0.74,0.5,0.33,,0.58,0.43,0.48,0.4,0.32,0.27,0.21
c_1,0.97,1.19,1.02,1.0,1.43,0.75,0.59,0.41,0.36,,0.39,0.39,0.42,0.31,0.34,0.32
b_1,1.22,1.25,1.0,0.7,1.0,1.13,0.56,0.49,0.49,0.54,0.47,,0.43,0.47,0.35,
a_1,1.99,1.55,1.36,1.34,0.88,1.0,0.72,0.52,0.49,0.55,0.51,0.45,0.39,,0.44,
h_1,1.88,2.39,2.0,1.71,1.78,1.39,1.0,1.21,0.76,0.99,0.78,0.76,,0.6,0.62,0.77
g_1,2.6,1.89,3.04,2.41,2.05,1.92,0.83,1.0,1.01,0.95,1.15,0.8,0.68,0.71,,0.75
d_0,1.72,2.45,,2.77,2.05,2.05,1.31,0.99,1.0,0.92,0.91,0.85,0.84,0.71,0.77,0.79
c_0,2.59,2.16,1.72,,1.86,1.82,1.01,1.05,1.09,1.0,1.05,1.35,0.79,0.79,0.71,0.78
f_0,2.69,,2.33,2.55,2.11,1.97,1.28,0.87,1.1,0.96,1.0,1.06,0.8,0.91,0.77,0.83
b_0,2.45,2.34,2.07,2.59,,2.2,1.31,1.26,1.17,0.74,0.94,1.0,0.83,1.07,1.03,1.01
h_0,2.51,2.98,2.52,2.37,2.33,2.58,,1.47,1.18,1.26,1.25,1.2,,0.9,1.02,0.9
e_0,,3.77,3.17,3.23,2.14,,1.68,1.4,1.41,1.27,1.1,0.93,1.12,1.0,0.78,
g_0,2.76,3.33,3.66,2.9,2.88,2.25,1.62,,1.3,1.41,1.3,0.97,0.98,1.28,,0.81
a_0,3.15,4.19,4.76,3.17,,,1.29,1.33,1.26,1.29,1.2,0.99,1.11,,1.24,1.0
