,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,95.07,85.58,97.26,113.37,136.11,350.42,8664.03,18858.25,20598.8,28911.99,45585.72,39281.13,135012.84,115749.54,153618.02,252250.01
e_1,58.05,98.03,97.49,102.5,145.49,367.7,9802.12,29684.7,26228.62,30927.24,51979.22,64684.67,161204.1,127575.2,169903.59,290911.72
c_1,48.62,49.86,131.7,117.21,207.32,368.48,8229.35,12695.92,19452.87,16263.14,33074.33,43474.61,112647.38,121204.32,111705.02,242677.01
d_1,50.23,51.17,57.22,176.12,107.53,258.77,8338.7,11872.56,15643.16,41038.48,45368.7,42625.03,122031.28,128555.85,139302.12,209241.83
b_1,43.07,42.45,55.9,96.37,204.11,528.33,6281.26,13385.79,14243.54,25045.52,26550.09,41840.02,116591.33,116385.49,89609.12,203642.27
a_1,35.46,32.17,45.48,73.05,62.3,456.3,5590.1,10382.68,12175.19,15607.17,30641.07,31294.73,95887.87,88000.0,77793.93,177532.38
h_1,17.48,13.81,21.27,28.59,36.79,78.44,3209.06,4074.66,6231.83,7311.55,10752.52,13351.25,28366.28,38204.87,33429.35,76899.35
d_0,12.79,9.53,27.91,21.12,31.15,63.8,2079.18,4669.2,5053.33,4795.85,9075.99,9506.29,31296.3,33332.78,32033.27,57305.14
g_1,10.94,8.64,15.64,32.04,28.43,67.4,1696.44,2784.15,6332.03,5846.22,8563.3,13490.59,24215.95,29991.21,25499.46,45840.86
c_0,11.65,10.45,14.89,18.65,18.85,62.78,1673.98,3340.5,3954.94,7014.28,14344.42,10103.85,24910.52,25539.79,32646.16,45555.12
b_0,10.31,8.91,14.52,18.1,19.59,43.65,1557.3,2950.22,3504.27,3858.4,9726.16,7907.84,21423.2,23458.17,38560.71,42110.67
f_0,7.72,6.78,14.39,18.6,21.69,56.47,1363.11,2836.84,3056.21,4138.7,7199.0,10845.19,22419.55,36143.26,17773.81,37907.51
h_0,7.76,6.1,10.72,12.96,16.84,36.25,938.31,1805.34,2858.48,3320.49,5172.81,5396.94,13578.33,16460.88,14342.88,37093.35
e_0,7.04,4.83,10.83,12.2,15.85,42.6,1129.66,1622.64,2258.11,3173.61,4367.29,5130.64,15562.53,22877.75,14641.75,29209.79
a_0,6.28,6.06,9.93,10.87,16.62,31.84,1038.25,1903.01,2610.98,2891.71,4317.71,6038.1,17645.74,17186.24,23569.6,30307.63
g_0,4.57,4.73,8.15,14.26,13.53,30.16,821.15,1564.46,1771.44,2820.07,4396.91,6805.11,11999.52,14721.93,12920.35,22479.79
