,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.01,0.99,1.11,1.32,1.09,0.24,0.23,0.36,0.22,0.23,0.3,0.13,0.21,0.21,0.2
e_1,0.74,0.43,1.16,1.25,1.13,1.11,0.39,0.27,0.36,0.29,0.21,0.31,0.19,0.26,0.45,0.21
d_1,1.33,1.36,0.41,1.36,1.08,0.98,0.3,0.49,0.21,0.24,0.21,0.18,0.17,0.19,0.2,0.11
c_1,1.14,1.02,1.89,0.4,1.15,1.07,0.37,0.15,0.35,0.36,0.26,0.25,0.18,0.23,0.27,0.19
b_1,1.35,1.55,1.47,0.77,0.38,1.37,0.44,0.27,0.37,0.35,0.49,0.25,0.21,0.28,0.23,0.19
a_1,1.8,1.66,1.51,1.82,0.74,0.32,0.53,0.39,0.51,0.35,0.5,0.32,0.22,0.65,0.35,0.25
h_1,2.16,1.92,1.96,2.14,2.02,1.92,0.31,0.45,0.68,0.43,0.41,0.41,0.38,0.38,0.39,0.3
d_0,2.29,1.37,3.57,2.37,2.81,2.57,0.75,0.33,0.76,0.62,0.45,0.54,0.37,0.53,0.51,0.41
g_1,2.62,2.51,2.3,2.58,2.27,2.05,0.5,0.57,0.28,0.42,0.47,0.41,0.28,0.49,0.41,0.36
c_0,2.85,2.69,1.29,4.09,2.78,2.27,0.75,0.8,0.7,0.32,0.46,0.46,0.36,0.44,0.43,0.33
b_0,2.93,2.63,2.11,3.48,4.22,2.53,0.78,0.63,0.7,0.32,0.31,0.52,0.35,0.45,0.48,0.36
f_0,4.97,2.81,2.7,3.32,2.98,2.1,0.91,0.62,0.5,0.55,0.56,0.31,0.38,0.49,0.47,0.25
h_0,3.85,3.24,2.55,2.97,3.13,2.46,1.11,0.7,0.87,0.64,0.59,0.49,0.54,0.57,0.6,0.41
a_0,4.4,3.2,2.4,3.47,3.88,3.61,1.06,0.76,0.91,0.53,0.33,0.58,0.44,0.3,0.71,0.42
e_0,4.48,4.14,2.73,3.53,3.44,2.43,0.86,0.57,0.77,0.6,0.55,0.31,0.39,0.66,0.28,0.42
g_0,3.67,3.35,3.29,3.76,3.49,2.92,0.77,0.74,1.27,0.71,0.7,0.59,0.4,0.71,0.59,0.57
