,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.92,0.95,0.83,0.72,0.59,0.7,0.57,0.56,0.53,0.52,0.46,0.47,0.4,0.57
e_1,0.79,1.0,0.89,1.17,1.02,0.86,0.72,0.6,0.63,0.94,0.62,0.69,0.62,0.65,0.67,0.64
d_1,1.08,1.12,1.0,0.88,0.95,0.87,0.78,0.56,0.83,0.67,0.65,0.62,0.57,0.54,0.48,0.45
c_1,1.06,0.85,1.14,1.0,1.24,0.89,0.65,0.73,0.59,0.46,0.58,0.68,0.66,0.55,0.64,0.52
b_1,1.2,0.97,1.04,0.81,1.0,1.24,0.76,0.71,0.77,0.66,0.78,0.64,0.64,0.53,0.62,0.57
a_1,1.4,1.17,1.13,1.11,0.81,1.0,0.98,0.86,0.84,0.91,0.91,0.63,0.73,0.88,0.71,0.76
h_1,1.74,1.44,1.34,1.46,1.14,1.04,1.0,1.32,0.91,0.84,0.88,0.77,1.05,0.87,0.84,0.9
g_1,1.43,1.63,1.79,1.32,1.44,1.2,0.77,1.0,1.07,0.81,1.0,1.2,0.83,0.91,0.83,0.93
c_0,1.86,1.63,1.17,1.59,1.26,1.21,1.11,0.93,1.0,1.27,1.44,1.13,1.04,1.01,0.99,0.93
d_0,1.67,1.11,1.61,2.21,1.47,1.08,1.2,1.41,0.78,1.0,1.04,0.79,1.07,0.86,0.81,0.83
b_0,1.91,1.64,1.54,1.79,1.23,1.15,1.12,0.96,0.7,0.98,1.0,0.87,0.95,1.23,0.94,0.87
f_0,1.69,1.49,1.56,1.48,1.59,1.46,1.22,0.84,0.93,1.27,1.18,1.0,1.11,1.14,1.33,0.75
h_0,2.16,1.65,1.78,1.51,1.55,1.41,0.96,1.2,0.93,0.96,1.02,0.86,1.0,0.9,0.93,0.97
a_0,2.08,1.54,1.78,1.87,1.94,1.22,1.21,1.09,1.01,1.12,0.82,0.97,1.11,1.0,0.81,0.94
e_0,2.37,1.59,2.0,1.55,1.69,1.23,1.13,1.28,1.05,1.22,1.09,0.77,1.09,1.43,1.0,0.89
g_0,1.76,1.66,2.16,1.89,1.85,1.37,1.12,1.09,1.09,1.17,1.11,1.36,1.02,1.0,1.13,1.0
