,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.65,0.69,0.94,1.06,1.03,0.91,0.46,0.45,0.42,0.31,0.42,0.36,0.28,0.32,0.37,0.34
f_1,0.98,0.65,0.92,1.01,0.94,0.74,0.35,0.45,0.35,0.34,0.38,0.34,0.23,0.31,0.27,0.27
d_1,1.18,1.09,0.63,0.88,0.91,0.85,0.42,0.33,0.46,0.39,0.34,0.37,0.27,0.34,0.28,0.2
c_1,0.85,0.95,1.15,0.63,1.14,0.94,0.42,0.41,0.25,0.39,0.33,0.3,0.3,0.33,0.34,0.29
b_1,0.98,1.19,1.0,0.72,0.63,1.08,0.48,0.42,0.37,0.42,0.36,0.4,0.3,0.32,0.37,0.28
a_1,1.26,1.39,1.23,1.14,0.74,0.57,0.55,0.62,0.44,0.42,0.41,0.6,0.4,0.57,0.42,0.3
h_1,1.48,1.68,1.51,1.63,1.46,1.34,0.54,0.65,0.64,0.48,0.51,0.58,0.52,0.53,0.47,0.53
g_1,1.65,1.8,1.72,1.77,1.59,1.32,0.68,0.52,0.62,0.6,0.64,0.55,0.37,0.51,0.54,0.52
d_0,1.24,1.65,2.17,2.02,1.8,1.68,0.82,0.81,0.55,0.55,0.68,0.6,0.53,0.55,0.6,0.64
c_0,2.08,1.88,1.27,2.29,1.83,1.46,0.92,0.82,0.85,0.54,0.77,0.76,0.56,0.69,0.53,0.52
f_0,1.78,2.13,1.73,1.99,1.76,1.55,0.85,0.61,0.69,0.6,0.52,0.67,0.56,0.58,0.77,0.42
b_0,1.78,1.89,1.56,2.46,1.91,1.51,0.84,0.99,0.77,0.42,0.76,0.53,0.55,0.74,0.58,0.52
h_0,1.96,2.13,1.99,1.98,1.96,1.59,0.98,1.01,0.79,0.7,0.69,0.69,0.68,0.75,0.61,0.63
a_0,2.15,2.26,1.94,2.09,2.47,2.14,1.01,1.0,0.78,0.67,0.78,0.46,0.54,0.52,0.71,0.68
e_0,2.76,2.55,2.17,2.31,1.88,1.66,0.9,0.8,0.95,0.8,0.53,0.82,0.74,0.66,0.51,0.51
g_0,2.04,2.42,2.39,2.23,2.09,2.16,0.73,0.99,0.8,0.76,0.76,0.77,0.55,0.65,0.77,0.69
