,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,115.64,78.58,80.16,73.23,130.77,354.48,10385.56,14672.02,31706.54,17571.0,36390.63,43187.89,92732.13,127841.59,138963.87,199865.9
f_1,60.22,115.03,119.95,91.46,122.88,309.55,9452.58,20885.87,19805.98,19484.96,30806.05,34078.73,85197.81,102184.34,95883.89,214263.57
e_1,56.76,58.16,130.66,105.16,142.42,308.54,9267.11,30271.19,19543.62,19325.66,28463.84,41430.63,94604.8,109270.22,110014.38,242926.8
c_1,69.11,59.94,61.71,146.3,198.1,272.73,8732.12,14430.25,13560.62,16463.73,22122.89,36403.06,83632.1,96647.38,126130.84,197955.41
b_1,55.89,56.24,55.28,67.05,205.29,480.78,8339.35,16084.03,14893.44,14642.55,23166.0,32810.6,71792.14,71140.29,98818.88,166448.02
a_1,42.07,48.13,47.77,59.66,56.46,431.54,6157.69,10234.14,11564.28,11893.9,20975.28,25906.99,59342.66,52938.43,77513.89,139096.84
h_1,17.02,22.17,20.0,22.44,33.1,80.66,3459.14,4098.1,4831.3,5725.19,7401.18,10621.87,19323.1,21869.6,33483.73,70048.72
d_0,11.33,12.89,13.14,30.84,32.22,73.83,2137.03,5016.06,3264.43,4181.28,6716.94,8852.56,19804.29,22404.38,26882.96,51974.14
c_0,13.45,15.55,16.11,17.71,24.08,62.78,2170.6,4251.7,5372.48,4239.91,9797.12,9166.99,19297.27,27319.91,27570.63,47435.83
g_1,18.87,12.23,12.47,19.06,28.78,59.87,1737.08,3247.04,3958.49,5952.33,6526.11,11935.12,17207.37,17195.02,28927.26,40429.46
b_0,12.94,13.77,13.53,18.24,18.53,45.4,1846.51,3132.76,3396.23,3493.68,7715.7,7483.84,18608.6,32808.08,26599.82,40876.5
f_0,12.92,10.05,11.26,15.45,25.08,46.59,1550.01,2705.79,3617.96,3052.32,5647.64,9475.68,16688.77,18509.79,40262.97,34377.65
h_0,9.82,11.07,9.46,12.59,18.33,42.18,1183.78,2387.97,2598.7,3445.28,4283.01,5387.51,10517.48,14708.49,17248.61,37735.31
a_0,8.21,8.62,9.2,11.45,17.26,27.28,1401.58,2320.62,2468.55,2746.32,3676.63,4852.99,12024.72,19447.76,16539.03,27434.39
e_0,8.12,9.05,7.84,10.06,17.68,31.67,1027.83,2111.45,2407.13,2166.77,3324.5,4410.99,12251.22,13070.14,22062.61,29244.44
g_0,9.62,6.17,6.28,9.42,14.38,33.56,881.74,1470.55,2124.88,1691.87,3051.94,5561.91,8222.2,11432.54,14783.99,20172.43
