,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.67,2.16,2.16,2.08,2.34,1.75,0.68,1.0,0.77,0.63,0.66,1.21,0.61,0.41,0.68,0.58
e_1,1.41,0.66,2.21,1.82,2.09,1.78,1.03,0.95,1.0,0.8,0.82,0.9,0.74,0.66,0.58,1.38
d_1,1.96,2.38,0.65,2.1,1.98,1.86,1.0,0.56,1.44,0.89,0.84,0.76,0.7,0.74,0.43,0.84
c_1,1.97,2.39,2.39,0.65,2.45,2.14,0.88,0.87,0.46,1.3,0.7,0.68,0.74,0.6,0.63,0.59
b_1,2.14,2.35,2.45,1.41,0.62,2.69,1.2,1.14,0.92,0.89,1.28,0.84,0.85,0.7,0.68,0.81
a_1,3.09,2.93,2.32,2.74,1.41,0.58,1.38,1.44,0.94,1.08,0.91,0.77,2.85,0.96,0.67,0.91
h_1,3.36,2.37,2.63,3.01,2.43,1.97,0.59,1.35,0.98,1.03,0.85,0.84,0.91,1.6,0.85,0.94
g_1,3.13,2.77,3.19,3.29,2.75,2.33,1.08,0.57,0.95,0.93,0.98,1.01,0.84,0.64,1.5,1.06
d_0,3.41,1.68,4.97,3.95,2.63,2.86,1.19,1.77,0.68,1.13,0.99,0.92,0.99,1.02,0.75,0.85
c_0,3.99,2.63,1.72,6.67,3.21,2.45,1.16,1.57,1.14,0.65,1.59,1.08,1.15,0.9,0.85,0.79
b_0,3.31,2.49,2.47,3.81,5.56,2.96,1.59,1.45,1.24,0.63,0.65,0.98,1.48,1.02,1.14,0.93
f_0,5.23,2.54,3.23,3.18,2.52,4.2,1.5,1.13,1.12,1.08,1.33,0.64,1.16,0.96,0.71,1.84
a_0,4.14,3.0,3.43,3.58,4.16,,1.84,1.85,1.16,1.0,0.75,1.13,0.6,0.9,0.91,0.96
h_0,4.16,3.27,2.74,3.57,3.43,3.07,2.31,1.91,1.19,1.21,1.08,1.22,1.18,1.38,1.23,1.16
g_0,3.45,3.53,4.17,3.98,3.71,3.71,1.34,2.26,1.46,1.43,1.19,1.4,1.36,0.83,1.65,1.14
e_0,5.89,4.79,2.97,4.08,3.39,3.49,1.45,1.45,1.25,1.41,1.22,0.59,1.56,1.12,0.97,0.57
