,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.41,0.47,0.38,0.34,0.29,0.31,0.46,0.26,0.26,0.25,0.27,0.24,0.17,0.13,0.2
f_1,0.71,0.94,0.39,0.32,0.34,0.23,0.22,0.27,0.23,0.23,0.24,0.13,0.24,0.18,0.14,0.21
c_1,0.37,0.43,0.94,0.4,0.6,0.33,0.29,0.26,0.27,0.15,0.2,0.26,0.22,0.16,0.18,0.2
d_1,0.44,0.57,0.34,0.94,0.36,0.27,0.31,0.19,0.24,0.43,0.27,0.25,0.28,0.23,0.19,0.15
b_1,0.45,0.45,0.42,0.46,0.94,0.52,0.26,0.24,0.21,0.24,0.13,0.24,0.3,0.15,0.16,0.19
a_1,0.5,0.54,0.46,0.55,0.33,0.94,0.33,0.3,0.35,0.3,0.3,0.26,0.28,0.14,0.19,0.22
h_1,0.67,1.05,0.6,0.58,0.55,0.37,0.74,0.4,0.42,0.4,0.36,0.36,0.28,0.34,0.25,0.34
d_0,0.55,0.8,1.11,0.43,0.7,0.43,0.47,0.66,0.36,0.39,0.38,0.41,0.45,0.31,0.34,0.32
g_1,0.65,0.72,0.6,0.92,0.63,0.37,0.45,0.47,0.73,0.47,0.43,0.48,0.37,0.33,0.31,0.24
c_0,0.75,0.93,0.53,0.65,0.46,0.43,0.53,0.46,0.42,0.68,0.77,0.43,0.45,0.39,0.33,0.35
b_0,0.83,0.82,0.76,0.76,0.41,0.46,0.61,0.48,0.43,0.38,0.65,0.47,0.38,0.63,0.29,0.41
f_0,0.64,0.71,0.72,0.74,0.69,0.6,0.49,0.51,0.43,0.47,0.51,0.66,0.43,0.39,0.57,0.32
h_0,0.86,1.15,0.77,0.67,0.61,0.48,0.37,0.46,0.52,0.43,0.5,0.44,0.35,0.33,0.33,0.41
a_0,0.95,0.88,0.92,0.71,0.61,0.35,0.5,0.58,0.43,0.49,0.41,0.43,0.55,0.62,0.4,0.39
e_0,0.6,1.05,0.84,0.79,0.8,0.61,0.55,0.48,0.51,0.52,0.59,0.43,0.56,0.36,0.63,0.42
g_0,0.9,0.68,0.74,1.25,0.82,0.58,0.54,0.48,0.41,0.51,0.48,0.73,0.54,0.37,0.37,0.31
