,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.96,0.63,0.54,0.69,0.53,0.36,0.44,0.57,0.38,0.31,0.39,0.36,0.36,0.27,0.31,0.22
f_1,0.92,0.96,0.57,0.58,0.48,0.35,0.41,0.41,0.34,0.31,0.34,0.25,0.29,0.27,0.27,0.18
d_1,0.72,0.71,0.96,0.49,0.45,0.43,0.46,0.35,0.61,0.35,0.42,0.36,0.36,0.28,0.29,0.27
c_1,0.62,0.73,0.67,0.95,0.85,0.4,0.43,0.36,0.32,0.3,0.28,0.32,0.34,0.26,0.3,0.27
b_1,0.7,0.75,0.69,0.5,0.95,0.77,0.46,0.42,0.44,0.35,0.34,0.34,0.36,0.2,0.33,0.25
a_1,0.85,0.89,0.72,0.74,0.51,0.94,0.55,0.46,0.41,0.41,0.43,0.37,0.41,0.25,0.38,0.29
h_1,0.97,1.16,0.9,0.86,0.79,0.58,0.81,0.6,0.49,0.54,0.49,0.46,0.48,0.33,0.54,0.37
d_0,0.91,1.04,0.85,1.37,0.9,0.61,0.68,0.75,0.47,0.46,0.55,0.55,0.53,0.37,0.44,0.42
c_0,1.12,1.19,0.85,0.89,0.67,0.68,0.8,0.72,0.75,0.55,0.88,0.59,0.6,0.54,0.49,0.42
g_1,1.08,0.94,1.26,0.98,0.78,0.61,0.68,0.65,0.67,0.8,0.62,0.76,0.52,0.45,0.4,0.48
b_0,1.09,1.2,0.98,1.02,0.78,0.55,0.78,0.6,0.57,0.58,0.75,0.56,0.6,0.7,0.47,0.43
f_0,0.92,1.14,1.08,1.06,1.01,0.81,0.78,0.69,0.67,0.52,0.62,0.72,0.66,0.44,0.43,0.73
h_0,1.19,1.47,1.14,1.07,0.88,0.67,0.67,0.7,0.66,0.65,0.7,0.53,0.51,0.49,0.62,0.41
a_0,1.29,1.25,1.17,1.06,1.09,0.65,0.94,0.82,0.67,0.62,0.57,0.6,0.64,0.68,0.49,0.45
g_0,0.98,1.21,1.47,1.07,1.08,0.74,0.72,0.66,0.78,0.56,0.71,0.86,0.63,0.56,0.54,0.63
e_0,1.12,1.51,1.07,1.11,1.14,0.79,0.86,0.74,0.69,0.58,0.64,0.56,0.74,0.46,0.48,0.69
