,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.2,0.99,1.0,0.99,0.75,0.55,0.68,0.6,0.53,0.58,0.51,0.49,0.45,0.62,0.42
e_1,0.84,1.0,0.96,1.01,0.94,0.82,0.84,0.71,0.97,0.7,0.73,0.77,0.64,0.62,0.6,0.6
d_1,1.02,1.04,1.0,0.95,0.86,0.92,0.68,0.52,0.64,0.89,0.74,0.61,0.57,0.66,0.46,0.65
c_1,1.0,0.99,1.05,1.0,1.29,0.83,0.67,0.61,0.47,0.53,0.53,0.57,0.57,0.57,0.54,0.47
b_1,1.02,1.06,1.14,0.77,1.0,1.3,0.82,0.8,0.75,0.67,0.56,0.74,0.6,0.68,0.6,0.66
a_1,1.33,1.22,1.08,1.22,0.76,1.0,0.99,0.86,0.73,0.8,0.7,0.63,0.96,0.84,0.61,0.64
h_1,1.76,1.18,1.47,1.45,1.25,1.04,1.0,1.17,0.96,0.95,0.85,0.8,0.77,0.89,0.91,0.82
g_1,1.48,1.49,1.93,1.66,1.25,1.2,0.84,1.0,0.72,0.88,0.9,1.01,0.73,0.75,0.92,0.77
d_0,1.6,1.06,1.7,2.11,1.44,1.34,1.03,1.32,1.0,0.87,0.9,0.88,0.93,0.93,0.82,0.79
c_0,1.85,1.48,1.11,1.78,1.41,1.27,0.99,1.2,1.2,1.0,1.51,1.02,1.06,0.99,0.9,0.82
b_0,1.75,1.42,1.38,1.87,1.99,1.32,1.18,1.08,1.11,0.67,1.0,0.84,1.48,1.05,0.99,0.87
f_0,1.93,1.36,1.65,1.7,1.35,1.51,1.3,0.94,1.14,1.01,1.17,1.0,1.03,0.95,0.77,1.69
a_0,1.95,1.53,1.72,1.72,1.81,1.23,1.29,1.31,1.03,0.9,0.79,0.98,1.0,1.0,0.9,0.71
h_0,2.27,1.71,1.62,1.63,1.46,1.12,1.13,1.36,1.07,1.0,0.95,1.02,0.99,1.0,1.06,0.95
g_0,1.76,1.67,2.12,1.81,1.69,1.59,1.08,1.1,1.2,1.06,1.04,1.39,1.13,0.97,1.0,1.05
e_0,2.35,1.77,1.66,2.14,1.5,1.47,1.15,1.23,1.14,1.17,1.11,0.57,1.38,1.14,0.98,1.0
