,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.01,0.02,0.04,0.04,0.04,0.05,0.07,0.09,0.1,0.07,0.08,0.11,0.13,0.1,0.21,0.12
f_1,0.02,0.01,0.03,0.03,0.03,0.03,0.04,0.07,0.06,0.06,0.06,0.13,0.08,0.06,0.08,0.1
c_1,0.02,0.02,0.01,0.03,0.03,0.03,0.06,0.06,0.03,0.05,0.1,0.07,0.08,0.07,0.09,0.09
d_1,0.02,0.02,0.02,0.01,0.03,0.03,0.04,0.04,0.13,0.05,0.06,0.06,0.06,0.06,0.09,0.05
b_1,0.02,0.02,0.01,0.02,0.01,0.03,0.03,0.04,0.03,0.08,0.05,0.03,0.05,0.05,0.07,0.09
a_1,0.01,0.01,0.01,0.01,,,0.02,0.02,0.02,0.02,0.02,0.03,0.06,0.03,0.03,0.03
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
