,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.57,0.93,0.93,1.0,0.8,0.28,0.21,0.29,0.21,0.19,0.25,0.13,0.19,0.24,0.15
f_1,0.85,0.42,0.9,0.96,0.83,0.84,0.2,0.19,0.28,0.19,0.18,0.25,0.1,0.16,0.16,0.14
d_1,0.96,1.11,0.41,0.95,0.87,0.86,0.25,0.2,0.17,0.26,0.17,0.18,0.12,0.18,0.2,0.09
c_1,0.82,1.03,1.29,0.38,0.91,0.96,0.31,0.29,0.33,0.13,0.22,0.2,0.15,0.19,0.21,0.14
b_1,1.15,1.22,1.19,0.63,0.36,1.06,0.32,0.29,0.28,0.21,0.29,0.22,0.16,0.23,0.23,0.17
a_1,1.34,1.27,1.21,1.13,0.61,0.33,0.38,0.3,0.33,0.28,0.41,0.27,0.19,0.49,0.24,0.19
h_1,1.72,1.81,1.69,1.87,1.68,1.35,0.28,0.34,0.52,0.38,0.34,0.35,0.35,0.34,0.32,0.26
c_0,2.04,2.25,1.21,2.67,2.05,1.75,0.57,0.29,0.48,0.5,0.4,0.36,0.29,0.38,0.37,0.26
g_1,2.13,2.21,1.92,1.94,1.86,1.52,0.47,0.37,0.26,0.38,0.39,0.39,0.23,0.41,0.37,0.33
d_0,1.38,1.94,2.51,2.17,2.19,1.94,0.62,0.46,0.65,0.32,0.45,0.38,0.28,0.42,0.46,0.3
b_0,2.13,2.01,1.75,2.3,2.63,1.91,0.62,0.27,0.56,0.39,0.29,0.39,0.27,0.47,0.39,0.25
f_0,2.05,2.98,2.04,2.13,2.01,1.6,0.54,0.42,0.44,0.43,0.42,0.28,0.34,0.45,0.41,0.22
h_0,2.34,2.33,2.13,2.39,2.25,2.06,0.86,0.47,0.72,0.48,0.54,0.51,0.43,0.44,0.42,0.35
a_0,2.44,2.73,1.99,2.87,2.93,2.76,0.66,0.41,0.63,0.48,0.28,0.43,0.33,0.26,0.43,0.32
e_0,2.89,3.64,2.26,2.65,2.43,1.86,0.64,0.51,0.7,0.49,0.52,0.28,0.38,0.49,0.26,0.31
g_0,2.51,2.86,2.36,2.67,2.51,2.53,0.56,0.51,1.0,0.49,0.57,0.54,0.33,0.54,0.48,0.48
