,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,5.88,9.82,8.98,8.33,8.28,4.36,2.83,2.29,2.78,2.22,3.08,2.29,2.29,,2.03
f_1,11.6,1.07,8.19,9.8,8.71,8.68,2.56,2.54,3.02,3.41,2.4,,2.36,1.59,2.22,1.9
c_1,8.37,11.22,1.07,11.97,9.43,7.45,3.77,1.97,,3.01,2.7,2.79,2.35,1.97,3.02,2.23
d_1,11.3,10.36,7.88,1.07,8.61,13.06,3.93,,2.76,2.4,2.71,3.27,2.76,2.39,1.98,1.37
b_1,10.71,10.99,6.69,10.21,1.07,13.61,3.51,2.84,3.46,3.86,,2.69,3.18,2.21,2.43,2.1
a_1,13.34,13.99,15.39,13.59,10.08,1.07,5.17,4.2,4.32,5.24,4.21,4.08,,3.63,,3.98
h_1,11.81,16.53,15.81,11.34,14.08,9.9,1.41,4.75,4.65,5.65,4.0,3.96,3.54,,2.74,2.93
d_0,9.76,13.47,16.2,,14.79,10.62,4.76,1.68,5.17,5.47,4.93,3.7,2.78,3.03,2.96,3.5
c_0,18.19,13.53,,12.02,14.46,15.56,4.79,4.03,1.75,5.68,4.75,4.35,2.91,3.25,3.07,2.72
g_1,27.68,23.36,20.14,18.71,16.18,15.27,4.26,6.28,4.21,1.41,4.62,5.68,4.76,2.84,,
b_0,20.16,20.33,21.59,15.97,,15.04,6.6,5.42,2.78,5.5,1.71,4.04,6.66,3.62,,3.81
f_0,14.14,,16.28,15.34,21.33,19.5,7.24,5.66,5.04,4.37,5.81,1.69,6.56,4.41,6.14,2.33
a_0,23.6,21.61,21.88,19.36,22.62,,8.33,7.87,6.06,6.73,3.27,4.78,1.76,,,3.53
h_0,17.81,19.38,16.84,13.59,15.16,12.77,,5.52,5.06,6.28,5.31,3.78,,,4.61,4.59
e_0,,22.04,18.95,22.29,31.75,,9.07,7.21,8.38,,,4.19,,4.13,1.75,
g_0,20.77,17.54,20.38,25.2,17.48,12.03,6.94,7.05,7.45,,4.94,7.0,6.85,2.82,,
