,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.1,0.08,0.09,0.11,0.08,0.07,0.06,0.11,0.06,0.06,0.07,0.06,0.03,,0.05
d_1,0.1,0.93,0.1,0.1,0.1,0.06,0.09,0.06,,0.1,0.08,0.06,0.04,0.05,0.04,0.04
f_1,0.16,0.1,0.93,0.1,0.1,0.09,0.06,0.06,0.07,0.07,0.06,,0.05,0.06,0.03,0.05
c_1,0.13,0.09,0.13,0.93,0.15,0.07,0.07,0.06,0.06,,0.05,0.04,0.07,0.06,0.04,0.04
b_1,0.1,0.11,0.1,0.09,0.93,0.12,0.08,0.08,0.08,0.08,,0.06,0.06,,0.04,0.04
a_1,0.09,0.14,0.07,0.11,0.09,0.93,0.06,0.09,0.08,0.1,0.07,0.09,0.08,,,0.07
h_1,0.3,0.22,0.4,0.25,0.23,0.29,0.71,0.21,0.2,0.21,0.17,0.13,,0.11,0.1,0.15
g_1,0.28,0.46,0.25,0.34,0.21,0.13,0.19,0.71,0.17,0.18,0.14,0.25,0.15,0.12,0.12,
d_0,0.32,,0.39,0.48,0.31,0.21,0.21,0.26,0.59,0.21,0.2,0.17,0.23,0.15,0.13,0.18
c_0,0.43,0.33,0.36,,0.28,0.19,0.21,0.22,0.2,0.57,0.38,0.2,0.24,0.14,0.16,0.11
b_0,0.38,0.31,0.38,0.38,,0.26,0.22,0.28,0.24,0.19,0.59,0.17,0.18,0.26,0.16,0.14
f_0,0.35,0.39,,0.31,0.33,0.23,0.29,0.19,0.26,0.21,0.24,0.58,0.2,0.18,0.29,0.17
h_0,0.44,0.66,0.68,0.45,0.42,0.23,,0.35,0.28,0.25,0.32,0.28,,0.16,0.19,0.31
a_0,0.45,0.27,0.32,0.43,,,0.33,0.26,0.22,0.27,0.21,0.25,0.3,0.55,0.16,0.19
e_0,,0.52,0.44,0.31,0.3,,0.33,0.21,0.34,0.3,0.29,0.17,0.25,0.21,0.57,
g_0,0.48,0.64,0.45,0.55,0.37,0.32,0.33,,0.28,0.48,0.37,0.4,0.25,0.21,,
