,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.43,0.71,0.64,0.59,0.52,0.32,0.33,0.37,0.25,0.28,0.34,0.22,0.27,0.3,0.24
f_1,0.64,0.4,0.61,0.58,0.58,0.53,0.25,0.27,0.32,0.24,0.27,0.28,0.18,0.23,0.22,0.25
c_1,0.48,0.56,0.39,0.72,0.7,0.56,0.34,0.18,0.32,0.3,0.22,0.27,0.23,0.25,0.25,0.24
d_1,0.62,0.68,0.56,0.39,0.58,0.56,0.3,0.36,0.25,0.29,0.27,0.26,0.22,0.25,0.26,0.16
b_1,0.61,0.67,0.4,0.61,0.36,0.74,0.35,0.25,0.33,0.33,0.36,0.26,0.24,0.29,0.27,0.22
a_1,0.67,0.67,0.63,0.6,0.36,0.31,0.37,0.29,0.33,0.28,0.34,0.26,0.26,0.31,0.23,0.25
h_1,0.56,0.64,0.58,0.53,0.54,0.56,0.22,0.24,0.32,0.24,0.24,0.23,0.24,0.23,0.22,0.24
d_0,0.41,0.52,0.65,0.65,0.62,0.62,0.34,0.23,0.33,0.24,0.23,0.26,0.24,0.24,0.29,0.25
g_1,0.54,0.62,0.59,0.57,0.57,0.48,0.24,0.29,0.21,0.24,0.27,0.27,0.19,0.26,0.27,0.23
c_0,0.66,0.65,0.67,0.39,0.55,0.53,0.31,0.34,0.28,0.21,0.3,0.27,0.24,0.25,0.29,0.21
b_0,0.54,0.57,0.76,0.51,0.63,0.43,0.31,0.27,0.3,0.17,0.21,0.24,0.24,0.27,0.26,0.2
f_0,0.5,0.67,0.57,0.54,0.59,0.58,0.32,0.28,0.22,0.26,0.26,0.2,0.22,0.22,0.28,0.17
h_0,0.58,0.61,0.56,0.57,0.53,0.46,0.33,0.26,0.3,0.23,0.25,0.24,0.25,0.22,0.23,0.22
a_0,0.53,0.58,0.63,0.53,0.61,0.5,0.29,0.24,0.3,0.22,0.17,0.25,0.22,0.18,0.24,0.19
e_0,0.62,0.7,0.57,0.53,0.52,0.54,0.33,0.23,0.25,0.23,0.21,0.16,0.23,0.23,0.18,0.18
g_0,0.56,0.59,0.55,0.58,0.59,0.5,0.25,0.26,0.3,0.25,0.25,0.26,0.18,0.23,0.24,0.24
