,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8459.1,1175.15,1237.01,2747.85,4530.36,9570.85,1302779.22,7376026.44,4567070.35,3572974.91,6899982.96,10101841.63,62657195.59,63464643.47,13264110.3,91256180.81
f_1,1571.07,11506.17,1480.88,2371.56,2926.37,10248.29,1744252.43,3438756.98,5071263.98,2774515.26,7490819.09,1986740.13,44776193.11,58163853.83,54498623.73,117321170.57
d_1,967.12,1255.46,18645.73,1468.23,4373.37,11905.28,1458659.82,562566.97,8153113.08,4183021.64,6065359.91,9523748.05,49692254.17,52970243.71,50468643.27,94268103.7
c_1,977.92,885.27,1844.56,26822.05,8535.32,10253.96,1086755.67,3634023.53,518444.45,3063206.95,6207973.14,8950760.36,54194452.15,43250028.81,65016870.1,84315501.79
b_1,639.19,1338.0,1557.58,2599.63,53089.04,20419.05,1370443.29,4830497.2,4020970.13,4586022.32,2083417.0,8053178.84,47041675.91,47874582.73,67681860.78,81824531.59
a_1,998.87,1440.47,1603.42,2334.36,2817.2,199733.31,1795294.19,4507218.48,3235702.92,2397206.93,6307474.48,7417223.66,49539777.53,14312879.26,86833454.25,98093899.91
h_1,1361.91,3097.22,3744.19,3610.59,6466.56,14059.72,9486037.15,4886968.84,7308523.51,8075007.57,11971246.89,13713309.78,31560446.41,93333475.51,79939205.65,197842161.23
d_0,1585.8,2331.71,962.14,8828.71,6837.25,18238.31,1857106.39,16678632.3,5560072.91,5432939.16,10751688.04,15792225.62,94039559.81,72745208.86,98296456.95,148381620.92
c_0,1611.09,2641.87,3947.48,1393.76,5368.23,25587.97,2479777.89,4665464.53,20596491.31,6431718.8,21968103.1,16888541.45,98249847.85,95711757.91,118206725.54,195227507.11
g_1,1333.47,1601.97,6024.99,3642.78,5138.62,21408.83,2215102.8,5339684.03,6795644.66,32703210.96,9655945.49,24056845.56,82733598.89,75374553.76,161644136.73,52440090.93
b_0,1731.41,2277.38,3705.11,3821.02,1481.27,23411.26,2766429.69,7388273.15,8458760.29,6598946.13,34060986.9,17190546.16,92460289.3,162232426.88,135045864.98,192391080.61
f_0,1374.88,800.74,3650.78,5227.43,6368.93,24366.17,2530783.78,6979113.69,8903004.85,9242774.78,14893258.55,48310839.91,107975735.96,101387050.67,241117441.44,212318416.93
h_0,1320.96,2864.62,2801.54,3902.27,6720.15,21354.66,1112645.44,7787209.17,8261371.94,9374483.27,10912901.36,20045484.49,36250543.71,82729845.37,134995374.25,209479935.42
a_0,1512.74,2740.32,3269.73,4978.51,4458.25,,3592306.97,6239309.81,7661214.58,8693462.58,9894363.9,21471484.41,97341761.96,403745766.23,114817829.26,214463047.4
e_0,,2256.52,3816.05,4053.63,8066.71,23896.96,2250615.32,7133903.81,8116488.27,8341203.1,16555639.87,21238331.99,126971723.31,108195690.92,501252596.56,173878181.14
g_0,1386.76,1513.8,5185.04,4235.32,7901.51,13875.84,2145513.88,5706001.66,7676924.23,2844502.5,12318055.34,29461663.09,81186890.8,100627378.25,105817699.7,95785253.85
