,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.68,0.61,0.8,0.82,0.7,0.16,0.19,0.26,0.15,0.14,0.39,0.09,0.16,0.12,0.18
e_1,0.45,0.17,0.8,0.84,0.84,0.75,0.23,0.2,0.22,0.16,0.15,0.21,0.12,0.14,0.14,0.38
d_1,0.74,0.85,0.16,0.78,0.86,0.73,0.19,0.48,0.13,0.16,0.13,0.14,0.09,0.15,0.07,0.15
c_1,0.77,0.68,1.11,0.15,0.67,0.7,0.2,0.08,0.26,0.29,0.16,0.14,0.13,0.15,0.09,0.12
b_1,0.87,0.84,0.8,0.4,0.14,0.98,0.26,0.16,0.22,0.2,0.38,0.16,0.11,0.16,0.14,0.13
a_1,1.09,0.75,0.84,0.87,0.36,0.09,0.35,0.16,0.39,0.14,0.22,0.17,0.14,0.35,0.11,0.16
h_1,0.69,0.64,0.61,0.64,0.57,0.42,0.06,0.12,0.19,0.14,0.13,0.12,0.16,0.11,0.09,0.12
d_0,0.62,0.31,1.4,0.71,0.59,0.55,0.22,0.06,0.2,0.14,0.14,0.12,0.09,0.13,0.1,0.12
g_1,0.67,0.61,0.56,0.67,0.66,0.59,0.13,0.16,0.05,0.13,0.13,0.12,0.07,0.13,0.18,0.11
c_0,0.61,0.64,0.31,1.39,0.7,0.69,0.22,0.16,0.16,0.06,0.13,0.12,0.1,0.12,0.1,0.13
b_0,0.66,0.55,0.49,0.9,1.2,0.56,0.18,0.14,0.19,0.07,0.06,0.12,0.09,0.12,0.08,0.1
f_0,1.48,0.49,0.58,0.55,0.65,0.74,0.21,0.12,0.1,0.1,0.13,0.05,0.09,0.12,0.06,0.11
h_0,0.56,0.52,0.57,0.67,0.71,0.5,0.3,0.14,0.14,0.11,0.1,0.11,0.16,0.11,0.1,0.08
a_0,0.57,0.69,0.47,0.6,0.84,0.91,0.23,0.18,0.15,0.13,0.07,0.12,0.09,0.04,0.1,0.16
g_0,0.65,0.52,0.6,0.61,0.65,0.72,0.13,0.12,0.34,0.12,0.12,0.13,0.06,0.09,0.13,0.1
e_0,0.9,0.81,0.52,0.72,0.62,0.6,0.16,0.1,0.2,0.12,0.12,0.05,0.09,0.14,0.07,0.04
