,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.15,1.5,1.97,3.66,21.87,29.6,39.69,31.65,51.56,45.42,79.14,104.56,104.87,130.41
f_1,1.22,1.0,1.01,1.34,1.6,3.46,18.88,26.95,29.38,30.22,40.27,43.52,63.56,88.01,80.04,131.75
d_1,0.85,1.0,1.0,1.07,1.47,2.86,18.05,19.22,25.78,37.48,37.26,45.93,62.9,88.03,86.6,92.44
c_1,0.67,0.75,0.92,1.0,1.87,2.48,16.0,21.2,17.24,21.86,31.43,27.3,59.82,67.19,72.74,94.71
b_1,0.5,0.61,0.66,0.55,1.0,2.83,13.01,16.13,16.46,21.44,23.6,24.83,41.94,47.66,52.09,68.25
a_1,0.28,0.29,0.34,0.41,0.37,1.0,6.66,7.66,9.26,10.02,12.48,14.23,22.64,25.74,33.17,34.78
h_1,0.05,0.05,0.06,0.06,0.07,0.15,1.0,1.6,1.41,1.44,2.07,2.03,3.74,4.42,4.48,6.4
g_1,0.03,0.04,0.05,0.05,0.06,0.13,0.63,1.0,1.04,1.37,1.8,1.6,2.44,3.57,3.77,4.73
d_0,0.03,0.03,0.04,0.06,0.06,0.11,0.71,0.94,1.0,0.89,1.35,1.43,2.83,3.3,3.21,3.99
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.71,0.79,1.17,1.0,1.47,1.84,2.29,3.15,2.96,3.92
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.49,0.55,0.72,0.71,1.0,1.16,1.73,2.3,3.23,2.42
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.43,0.62,0.7,0.59,0.92,1.0,1.79,2.84,1.99,2.76
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.26,0.41,0.36,0.45,0.56,0.58,1.0,1.23,1.13,1.78
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.23,0.27,0.31,0.33,0.43,0.35,0.81,1.0,0.98,1.33
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.27,0.31,0.34,0.33,0.52,0.86,1.03,1.0,1.18
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.21,0.24,0.28,0.43,0.36,0.57,0.81,0.9,1.0
