,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.89,0.21,0.23,0.13,0.14,0.1,0.17,0.35,0.14,0.16,0.16,0.14,0.16,0.12,0.14,0.04
f_1,0.34,0.89,0.16,0.16,0.14,0.11,0.16,0.15,0.09,0.16,0.05,0.12,0.14,0.08,0.11,0.06
c_1,0.19,0.17,0.89,0.17,0.28,0.1,0.15,0.18,0.12,0.05,0.15,0.1,0.18,0.09,0.14,0.09
d_1,0.17,0.23,0.14,0.89,0.14,0.1,0.19,0.09,0.15,0.31,0.15,0.17,0.19,0.09,0.17,0.09
b_1,0.18,0.16,0.16,0.17,0.88,0.26,0.17,0.14,0.14,0.14,0.17,0.06,0.17,0.08,0.11,0.08
a_1,0.17,0.19,0.19,0.22,0.17,0.87,0.16,0.16,0.14,0.15,0.17,0.14,0.16,0.04,0.12,0.12
h_1,0.2,0.3,0.23,0.24,0.17,0.13,0.56,0.19,0.22,0.18,0.18,0.16,0.1,0.13,0.2,0.12
d_0,0.26,0.22,0.46,0.08,0.19,0.1,0.21,0.43,0.14,0.13,0.17,0.16,0.2,0.13,0.15,0.12
g_1,0.21,0.21,0.22,0.32,0.16,0.13,0.22,0.2,0.54,0.18,0.26,0.14,0.2,0.12,0.08,0.09
c_0,0.27,0.25,0.12,0.25,0.17,0.11,0.25,0.23,0.18,0.44,0.21,0.34,0.2,0.14,0.19,0.12
f_0,0.22,0.16,0.25,0.24,0.2,0.11,0.26,0.22,0.19,0.2,0.4,0.19,0.22,0.14,0.19,0.25
b_0,0.25,0.28,0.2,0.2,0.11,0.08,0.26,0.28,0.17,0.22,0.19,0.45,0.21,0.29,0.16,0.13
h_0,0.22,0.34,0.18,0.24,0.19,0.12,0.15,0.2,0.22,0.22,0.15,0.17,0.12,0.13,0.23,0.12
a_0,0.28,0.26,0.26,0.2,0.18,0.06,0.23,0.26,0.13,0.18,0.19,0.21,0.2,0.4,0.18,0.14
g_0,0.23,0.2,0.19,0.36,0.2,0.11,0.22,0.21,0.1,0.23,0.3,0.18,0.19,0.13,0.14,0.14
e_0,0.14,0.23,0.25,0.26,0.22,0.09,0.26,0.23,0.19,0.23,0.17,0.18,0.24,0.16,0.19,0.36
