,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.56,0.58,0.69,0.56,0.38,0.46,0.37,0.4,0.59,0.39,0.41,0.35,0.26,0.25,0.32
f_1,0.92,0.96,0.59,0.6,0.45,0.34,0.41,0.37,0.38,0.4,0.38,0.29,0.31,0.27,0.2,0.29
d_1,0.65,0.72,0.96,0.52,0.46,0.34,0.45,0.36,0.59,0.35,0.44,0.37,0.36,0.29,0.31,0.3
c_1,0.62,0.67,0.61,0.96,0.87,0.39,0.42,0.38,0.31,0.36,0.31,0.33,0.35,0.28,0.24,0.28
b_1,0.66,0.73,0.73,0.53,0.95,0.75,0.47,0.4,0.44,0.38,0.34,0.34,0.4,0.26,0.27,0.34
a_1,0.72,0.85,0.88,0.75,0.49,0.94,0.53,0.42,0.51,0.53,0.52,0.42,0.52,0.29,0.36,0.42
h_1,0.92,1.08,0.96,0.89,0.76,0.5,0.82,0.65,0.56,0.53,0.54,0.49,0.43,0.45,0.41,0.54
g_1,0.88,0.92,1.31,0.81,0.77,0.57,0.64,0.82,0.65,0.49,0.56,0.73,0.56,0.47,0.45,0.45
c_0,1.08,1.1,0.95,0.93,0.72,0.55,0.7,0.6,0.75,0.65,0.86,0.55,0.57,0.52,0.46,0.54
d_0,0.84,0.97,0.9,1.39,0.96,0.54,0.66,0.61,0.49,0.75,0.54,0.56,0.54,0.47,0.44,0.49
b_0,1.09,1.09,0.98,1.09,0.75,0.49,0.73,0.59,0.55,0.71,0.76,0.57,0.61,0.72,0.46,0.53
f_0,0.85,1.09,1.08,1.12,0.9,0.58,0.78,0.57,0.67,0.67,0.66,0.74,0.62,0.52,0.79,0.45
h_0,1.2,1.44,1.2,0.96,0.8,0.54,0.68,0.7,0.7,0.66,0.6,0.65,0.57,0.51,0.5,0.68
a_0,1.22,1.19,1.24,1.07,1.01,0.68,0.8,0.64,0.73,0.66,0.58,0.6,0.66,0.66,0.46,0.58
e_0,1.01,1.35,1.18,1.36,1.06,0.58,0.77,0.57,0.7,0.71,0.72,0.54,0.64,0.6,0.69,0.57
g_0,1.13,1.17,1.49,1.07,0.92,0.58,0.78,0.64,0.79,0.67,0.69,0.83,0.59,0.53,0.57,0.55
