,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.27,0.02,0.03,0.03,0.02,0.03,0.05,0.05,0.06,0.12,0.07,0.06,0.07,0.04,,0.05
d_1,0.03,2.28,0.03,0.02,0.02,0.03,0.05,0.05,0.13,,0.06,0.05,0.09,0.04,0.06,0.06
f_1,0.05,0.03,2.3,0.02,0.03,0.02,0.06,0.05,0.06,0.07,,0.06,0.08,0.05,0.04,0.07
c_1,0.02,0.03,0.03,2.41,0.06,0.02,0.06,0.03,,0.07,0.07,0.03,0.08,0.05,0.04,0.08
b_1,0.03,0.02,0.03,0.02,2.47,0.05,0.07,0.05,0.05,0.06,0.06,,0.11,0.05,,0.07
a_1,0.03,0.03,0.03,0.03,0.03,2.93,0.04,0.06,0.05,0.07,,0.06,0.05,,0.07,0.09
h_1,0.1,0.1,0.13,0.15,0.1,0.08,2.61,0.21,0.25,0.2,0.22,0.24,,0.16,0.12,0.43
g_1,0.11,0.2,0.1,0.06,0.12,0.07,0.23,2.92,0.22,0.19,0.33,0.27,0.16,0.14,0.17,
c_0,0.14,0.17,0.14,,0.11,0.1,0.32,0.26,2.12,0.29,0.29,0.5,0.24,0.28,0.25,0.32
d_0,0.19,,0.16,0.32,0.15,0.1,0.33,0.14,0.17,2.06,0.3,0.28,0.41,0.21,0.19,0.26
f_0,0.13,0.17,,0.13,0.14,,0.28,0.33,0.34,0.26,2.23,0.24,0.42,,0.61,0.33
b_0,0.12,0.18,0.16,0.15,,0.08,0.25,0.27,0.35,0.23,0.23,2.21,0.52,0.61,0.17,0.29
h_0,0.18,0.15,0.35,0.2,0.23,0.11,,0.6,0.58,0.5,0.34,0.28,,0.38,0.38,0.73
a_0,0.15,0.16,0.14,0.12,0.09,,0.33,0.19,0.26,0.28,,0.24,0.53,2.61,,0.48
e_0,,0.13,0.16,0.11,,0.19,0.33,0.3,0.26,0.42,0.27,0.28,0.45,,2.67,0.34
g_0,0.19,0.38,0.16,0.21,0.18,0.15,0.37,,0.36,0.42,0.6,0.63,0.52,0.35,0.35,
