,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.94,0.64,1.12,0.9,0.74,0.54,0.52,0.52,0.35,0.44,0.43,0.43,0.37,0.36,0.35
d_1,1.07,1.0,1.05,0.82,0.9,0.75,0.51,0.38,0.36,0.54,0.35,0.42,0.35,0.35,0.32,0.21
f_1,1.57,0.95,1.0,0.95,0.77,0.62,0.39,0.5,0.49,0.41,0.31,0.37,0.23,0.27,0.28,0.34
c_1,0.9,1.22,1.06,1.0,1.44,0.72,0.54,0.52,0.35,0.33,0.41,0.36,0.42,0.3,0.34,0.28
b_1,1.11,1.11,1.3,0.69,1.0,1.27,0.58,0.56,0.53,0.6,0.45,0.59,0.42,0.38,0.27,0.41
a_1,1.36,1.34,1.62,1.4,0.79,1.0,0.72,0.6,0.47,0.59,0.56,0.59,0.45,0.48,0.43,0.44
h_1,1.85,1.97,2.62,1.83,1.7,1.43,1.0,1.17,0.87,0.92,0.79,0.75,0.97,0.83,0.78,0.84
g_1,1.92,2.61,2.01,2.01,1.7,1.66,0.85,1.0,0.98,0.83,1.17,0.9,0.58,0.66,0.66,0.64
d_0,1.88,2.7,2.09,2.84,1.81,2.35,1.19,1.04,1.0,0.93,0.84,0.71,0.79,0.72,0.65,0.75
c_0,2.68,1.94,2.52,2.96,1.76,1.61,1.06,1.16,1.09,1.0,1.1,1.26,0.85,0.78,0.7,0.77
f_0,2.19,2.76,3.18,2.54,2.22,1.75,1.26,0.81,1.21,0.88,1.0,0.97,1.06,1.2,0.7,0.71
b_0,2.35,2.26,2.63,2.64,1.74,1.78,1.31,1.15,1.42,0.84,1.09,1.0,0.81,0.72,1.1,0.76
h_0,2.33,2.81,4.22,2.59,2.34,2.17,0.98,1.75,1.21,1.16,1.02,1.23,1.0,0.89,0.78,0.82
e_0,2.49,3.01,3.9,3.28,2.69,2.01,1.23,1.57,1.41,1.26,0.87,1.39,1.19,1.0,1.02,0.82
a_0,2.82,2.89,3.58,3.16,3.85,,1.44,1.58,1.73,1.23,1.47,0.9,1.34,0.93,1.0,0.91
g_0,2.69,4.6,2.96,3.61,2.55,2.38,1.25,1.51,1.36,1.37,1.41,1.31,1.23,1.18,1.09,1.04
