,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.4,0.67,0.68,0.58,0.52,0.53,0.3,0.23,0.3,0.31,0.28,0.26,0.21,0.25,0.25,0.17
e_1,0.59,0.4,0.42,0.7,0.66,0.57,0.34,0.37,0.27,0.31,0.27,0.35,0.23,0.27,0.32,0.26
f_1,0.56,0.67,0.4,0.64,0.55,0.49,0.26,0.4,0.26,0.27,0.27,0.27,0.18,0.27,0.23,0.23
c_1,0.7,0.5,0.58,0.37,0.69,0.55,0.31,0.3,0.29,0.18,0.25,0.29,0.21,0.23,0.25,0.23
b_1,0.64,0.55,0.66,0.39,0.35,0.74,0.32,0.32,0.31,0.27,0.36,0.27,0.23,0.27,0.3,0.27
a_1,0.65,0.58,0.72,0.55,0.38,0.3,0.34,0.34,0.28,0.31,0.33,0.25,0.28,0.29,0.28,0.23
h_1,0.55,0.56,0.68,0.54,0.52,0.5,0.24,0.3,0.26,0.26,0.25,0.22,0.25,0.23,0.23,0.23
g_1,0.63,0.52,0.56,0.56,0.57,0.53,0.27,0.21,0.26,0.23,0.26,0.25,0.19,0.25,0.26,0.22
c_0,0.41,0.62,0.58,0.76,0.56,0.59,0.34,0.3,0.23,0.37,0.28,0.25,0.22,0.25,0.25,0.21
d_0,0.63,0.4,0.54,0.69,0.64,0.53,0.34,0.35,0.22,0.22,0.25,0.29,0.24,0.26,0.28,0.26
b_0,0.48,0.59,0.57,0.75,0.6,0.57,0.31,0.32,0.18,0.31,0.21,0.24,0.25,0.3,0.25,0.22
f_0,0.55,0.47,0.71,0.53,0.59,0.57,0.33,0.24,0.25,0.25,0.26,0.21,0.24,0.25,0.32,0.18
h_0,0.57,0.53,0.58,0.59,0.58,0.45,0.33,0.31,0.26,0.24,0.24,0.23,0.24,0.24,0.22,0.24
a_0,0.51,0.54,0.55,0.71,0.66,0.7,0.32,0.28,0.22,0.27,0.17,0.25,0.21,0.19,0.24,0.19
e_0,0.54,0.59,0.75,0.61,0.53,0.46,0.3,0.27,0.26,0.24,0.26,0.16,0.26,0.27,0.19,0.21
g_0,0.56,0.54,0.67,0.58,0.55,0.52,0.26,0.32,0.25,0.25,0.24,0.27,0.19,0.27,0.24,0.22
