,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12523.77,6993.24,7194.27,10133.92,14713.94,56264.3,7023919.19,24439747.38,12522011.69,18094891.75,40682122.75,56984541.98,194758245.56,190515557.84,255972100.2,357171443.39
f_1,9460.29,15697.82,7242.33,7808.97,11533.22,45671.15,6607421.59,16856250.29,12748096.4,22066947.56,29558317.98,52697035.8,195612158.89,164651816.44,267883005.66,375639983.26
d_1,5355.03,7888.11,19655.72,6053.16,14446.23,53810.39,7077063.78,10755456.41,13281252.36,38068160.73,36612319.66,63420461.86,191782101.04,265694817.66,282623529.35,423047808.76
c_1,4960.96,6442.09,7342.2,19580.9,25887.46,65854.37,7079228.69,14045141.82,11208652.66,12741739.36,39760593.89,34426768.76,181641638.51,217482633.63,195670395.35,390714310.66
b_1,5224.25,6859.07,8425.83,8175.95,38797.87,120454.71,6476843.03,13621661.17,13678436.72,18488711.73,35551134.3,36165946.31,193544925.12,233464086.7,189046994.39,370422067.2
a_1,5846.33,7602.79,7946.62,8998.73,14854.69,215052.15,6861256.71,16795434.68,13076668.72,18535192.6,42121475.56,48040790.08,216427894.57,272001079.81,201364105.1,362662657.07
h_1,5789.48,9724.22,9586.16,8663.54,14971.16,50731.36,12155772.38,13783635.31,19794426.47,21382385.58,42628071.88,54075888.7,160903447.11,256705432.72,301250512.23,508640210.24
d_0,5469.12,6583.47,6854.86,14288.16,18345.41,60091.63,7763947.59,22651607.82,14066617.94,15120388.06,40349855.29,51994589.41,198731042.46,257962061.79,303394451.64,415323565.26
g_1,5565.21,6410.07,12622.63,8657.64,15771.05,65448.12,6738386.81,12004958.26,27503550.43,23450491.31,60795007.55,49228891.51,182105710.72,305063923.37,271062915.1,333580717.91
c_0,6411.4,8022.96,9613.87,7237.38,11447.06,62399.09,8071449.43,18109919.34,15611382.49,34372448.27,47947663.37,108381764.25,216751404.13,266072596.58,440146439.57,481545297.39
f_0,5006.79,5903.43,9440.92,10188.34,17963.18,71309.77,8081887.02,16168599.79,18094584.78,23685939.74,64335095.32,61110697.95,211870460.66,509743892.07,301291021.04,440652396.76
b_0,6267.16,8025.42,8817.96,9817.11,12326.35,38132.7,8624822.52,17973744.75,16489703.11,21087717.91,43201625.87,93372706.69,216188447.65,289855425.71,585054980.97,453030611.19
h_0,5295.34,9140.28,9711.8,8442.95,16133.6,68541.25,6271544.33,16790828.89,19340768.3,21869507.22,42784773.45,52897820.33,175182114.92,264884772.49,260392501.93,488377680.29
e_0,4490.58,7955.76,9572.3,9586.95,15332.64,61966.83,8606693.81,15746109.12,19096436.79,24178491.72,41545571.36,58948362.89,253350715.22,521315775.64,378367577.91,477115562.8
a_0,6534.51,7332.34,9877.67,8863.48,15801.99,52054.36,8726357.93,17029046.72,17150024.44,24691557.54,42838795.56,58501199.67,187284818.26,238609339.29,514461009.97,426761071.32
g_0,4876.47,6733.81,13024.58,7521.16,16355.83,64186.03,7308163.23,13177631.54,14026053.05,25862832.17,60443900.68,54906182.24,192444179.64,294802887.28,306850473.84,393273697.91
