,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.93,0.12,0.09,0.09,0.09,0.09,0.07,,0.05,0.11,0.07,0.05,0.06,0.06,0.03,0.04
e_1,0.1,0.93,0.08,0.11,0.09,0.07,0.07,0.1,0.06,0.07,0.06,0.06,0.06,0.04,,0.05
f_1,0.11,0.17,0.93,0.11,0.07,0.09,0.07,0.07,0.07,0.07,,0.06,0.05,0.04,0.03,0.05
c_1,0.11,0.12,0.11,0.93,0.13,0.07,0.06,0.06,0.06,,0.06,0.05,0.09,0.04,,0.07
b_1,0.1,0.1,0.12,0.1,0.93,0.11,0.08,0.06,0.06,0.07,0.05,,0.06,0.04,0.06,0.07
a_1,0.11,0.12,0.09,0.1,0.09,0.93,0.08,0.09,0.07,0.09,0.08,0.07,0.07,,,0.06
h_1,0.32,0.23,0.4,0.3,0.23,0.16,0.71,0.18,0.24,0.18,0.14,0.14,,0.14,0.14,0.17
d_0,,0.36,0.34,0.58,0.39,0.29,0.19,0.57,0.16,0.2,0.19,0.17,0.2,0.15,0.15,0.18
g_1,0.4,0.25,0.24,0.27,0.25,0.19,0.14,0.21,0.71,0.24,0.25,0.21,0.18,,0.13,
c_0,0.29,0.34,0.38,,0.23,0.18,0.28,0.25,0.15,0.58,0.2,0.36,0.23,0.12,0.14,0.23
f_0,0.35,0.28,,0.43,0.4,0.2,0.27,0.24,0.22,0.19,0.57,0.22,0.21,0.15,0.26,0.18
b_0,0.37,0.34,0.35,0.35,,0.2,0.27,0.29,0.21,0.16,0.2,0.58,0.24,0.33,0.15,0.17
h_0,0.65,0.44,0.71,0.39,0.38,0.26,,0.35,0.28,0.24,0.27,0.28,,0.19,0.19,0.27
a_0,0.32,0.53,0.42,0.33,0.26,,0.31,0.28,,0.29,0.28,0.14,0.23,0.57,,0.19
e_0,0.53,,0.5,,0.31,,0.24,0.34,0.24,0.27,0.19,0.21,0.3,,0.57,0.22
g_0,0.73,0.42,0.46,0.34,0.34,0.33,0.31,0.28,,0.34,0.39,0.31,0.31,0.23,0.2,
