,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.76,1.2,1.64,1.61,3.24,22.49,34.59,26.08,25.21,44.43,52.29,71.56,109.57,84.24,109.06
f_1,1.32,1.0,0.95,0.95,1.33,2.26,13.34,21.77,23.42,26.72,32.87,31.97,54.94,61.05,95.81,87.92
d_1,0.83,1.05,1.0,0.93,1.29,2.4,14.99,19.41,18.64,30.78,30.83,39.59,55.9,79.01,70.68,62.94
c_1,0.62,1.04,1.08,1.0,1.87,2.53,14.96,14.32,19.02,18.65,30.51,29.96,60.0,70.29,64.86,88.6
b_1,0.61,0.76,0.77,0.53,1.0,3.14,11.68,15.27,15.25,20.14,22.91,32.13,47.73,59.49,52.07,65.56
a_1,0.31,0.44,0.41,0.4,0.32,1.0,5.94,8.48,8.85,7.92,10.63,17.54,25.05,34.3,36.34,33.15
h_1,0.05,0.07,0.07,0.07,0.08,0.16,1.0,1.2,1.71,1.48,2.04,2.31,3.39,4.76,4.83,6.61
d_0,0.03,0.04,0.05,0.07,0.07,0.12,0.82,1.0,1.19,0.93,1.68,1.94,2.75,3.93,4.29,4.32
g_1,0.04,0.04,0.05,0.05,0.07,0.12,0.59,0.8,1.0,1.1,1.89,1.46,2.23,3.27,3.3,3.74
c_0,0.04,0.04,0.03,0.05,0.04,0.14,0.71,1.05,0.92,1.0,1.42,2.07,2.39,2.98,3.28,3.49
f_0,0.02,0.03,0.03,0.04,0.04,0.09,0.49,0.62,0.58,0.69,1.0,1.2,1.73,3.58,2.7,2.01
b_0,0.02,0.03,0.02,0.04,0.03,0.06,0.43,0.5,0.69,0.46,0.81,1.0,1.56,2.4,3.11,2.39
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.29,0.36,0.44,0.41,0.57,0.65,1.0,1.13,1.28,1.57
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.22,0.27,0.31,0.33,0.27,0.43,0.89,1.0,1.27,1.12
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.25,0.29,0.33,0.36,0.33,0.79,0.75,1.0,0.96
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.15,0.22,0.28,0.31,0.5,0.41,0.64,0.87,1.04,1.0
