,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,3.82,0.4,0.29,0.31,0.42,0.49,0.68,0.68,0.25,1.52,0.9,0.92,1.03,0.87,0.92,0.9
f_1,0.34,3.9,0.73,0.41,0.33,0.31,0.71,0.72,0.75,0.73,0.74,0.22,0.93,0.77,1.03,0.46
e_1,0.38,0.4,3.92,0.41,0.4,0.41,0.76,0.61,1.38,0.8,0.86,0.79,0.73,0.8,0.76,0.2
c_1,0.36,0.34,0.37,4.69,0.7,0.35,0.9,0.86,0.87,0.15,0.55,0.89,0.85,0.7,0.78,0.92
b_1,0.46,0.36,0.4,0.41,4.99,0.66,0.61,0.69,0.75,0.66,0.19,0.96,0.8,0.77,0.94,0.84
a_1,0.41,0.4,0.38,0.37,0.35,7.06,0.84,0.88,0.79,0.8,0.88,0.89,0.73,0.19,0.87,0.77
h_1,0.7,1.04,0.58,0.68,0.66,0.56,5.12,1.96,1.24,1.12,1.19,1.21,0.66,1.54,1.73,1.48
g_1,1.14,0.56,0.57,0.82,0.66,0.4,1.0,5.94,1.16,1.4,1.39,1.74,1.42,1.35,0.27,1.41
d_0,0.29,0.76,0.71,1.3,0.64,0.57,1.43,1.11,3.76,1.11,1.61,1.34,1.6,1.2,1.4,2.09
c_0,0.69,0.8,0.66,0.37,0.69,0.8,1.46,1.21,1.57,3.62,3.01,1.57,2.05,1.79,1.21,2.04
b_0,0.84,0.92,0.61,0.83,0.24,0.57,1.5,1.35,1.38,1.58,4.39,1.26,1.88,2.8,1.79,1.23
f_0,0.9,0.33,0.59,0.61,0.7,0.7,1.6,1.24,1.65,1.59,1.59,4.8,1.41,1.88,1.66,4.16
h_0,0.74,1.21,0.64,0.52,0.68,0.61,0.5,1.4,1.21,1.46,1.42,1.43,0.59,1.43,1.86,1.18
a_0,0.6,0.87,0.85,0.83,0.47,,1.16,1.12,1.92,1.73,1.69,1.6,1.83,5.51,1.72,1.15
g_0,1.11,0.55,0.73,0.7,0.54,0.49,1.15,0.65,1.18,1.3,1.55,2.22,1.35,1.43,0.64,1.67
e_0,0.94,0.86,0.34,0.77,0.79,0.52,1.46,1.19,1.26,1.39,2.01,1.49,2.35,1.13,1.75,6.86
