,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.92,0.97,0.92,0.87,0.86,1.04,0.98,0.91,1.05,0.92,0.89,0.93,0.82,1.04
e_1,0.79,1.0,0.99,1.18,1.08,0.97,1.04,1.09,1.35,1.02,0.96,1.19,1.03,1.07,1.11,1.09
d_1,1.11,1.0,1.0,0.95,0.99,0.9,1.0,0.8,1.01,1.24,1.08,0.94,0.98,1.06,1.07,0.89
c_1,1.01,0.84,1.06,1.0,1.28,0.93,1.04,1.08,0.75,0.85,0.81,0.91,1.04,0.97,1.01,0.9
b_1,1.06,0.94,1.06,0.78,1.0,1.49,0.99,0.97,0.96,1.1,0.98,1.07,1.1,0.84,0.97,1.01
a_1,1.14,1.0,1.08,1.06,0.68,1.0,1.18,1.14,1.03,1.01,1.1,1.04,1.07,1.04,0.94,1.04
h_1,1.19,0.97,0.99,0.95,1.01,0.87,1.0,1.12,0.93,0.94,1.0,0.93,0.91,0.85,0.96,1.09
g_1,0.97,0.91,1.25,0.94,1.0,0.88,0.88,1.0,0.85,0.96,0.97,1.13,0.89,1.05,1.06,0.96
d_0,1.0,0.76,0.99,1.31,1.03,0.97,1.08,1.12,1.0,0.84,0.91,1.06,1.05,0.92,1.06,1.1
c_0,1.06,1.04,0.82,1.26,0.88,0.9,1.07,1.03,1.16,1.0,1.35,1.0,1.14,1.2,0.97,1.14
b_0,1.01,1.05,0.88,1.2,0.96,0.92,1.02,1.04,1.15,0.77,1.0,0.95,0.97,1.42,0.92,1.0
f_0,1.11,0.81,1.07,1.05,0.96,1.01,1.04,0.91,0.92,0.96,1.02,1.0,1.01,1.11,1.5,0.87
h_0,1.16,0.98,0.98,0.95,0.9,0.9,1.1,1.12,0.93,0.87,1.06,0.99,1.0,0.9,0.94,1.19
a_0,1.05,1.0,0.93,1.09,1.15,0.94,1.22,1.02,1.09,0.85,0.76,0.99,1.08,1.0,0.99,1.07
e_0,1.23,0.92,0.93,0.97,0.99,1.06,1.03,0.98,0.9,0.97,1.08,0.73,1.09,0.96,1.0,1.0
g_0,0.99,0.91,1.11,1.09,0.97,0.97,0.91,1.05,0.92,0.9,1.06,1.17,0.86,0.9,1.02,1.0
