,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.94,0.4,0.35,0.51,0.36,0.26,0.28,0.46,0.24,0.22,0.22,0.21,0.23,0.15,0.18,0.2
f_1,0.68,0.94,0.38,0.38,0.37,0.23,0.23,0.24,0.21,0.23,0.24,0.12,0.2,0.13,0.17,0.16
d_1,0.47,0.48,0.94,0.36,0.36,0.24,0.29,0.2,0.23,0.42,0.27,0.26,0.24,0.21,0.16,0.16
c_1,0.38,0.48,0.43,0.94,0.62,0.28,0.29,0.19,0.25,0.13,0.23,0.23,0.23,0.14,0.15,0.19
b_1,0.51,0.44,0.43,0.34,0.94,0.51,0.29,0.28,0.25,0.23,0.15,0.27,0.3,0.16,0.15,0.21
a_1,0.5,0.65,0.54,0.46,0.32,0.94,0.36,0.35,0.26,0.4,0.31,0.27,0.28,0.22,0.11,0.26
h_1,0.71,0.94,0.66,0.65,0.6,0.37,0.74,0.42,0.47,0.38,0.35,0.3,0.29,0.27,0.24,0.33
d_0,0.64,0.74,0.45,1.21,0.63,0.44,0.44,0.66,0.38,0.39,0.36,0.43,0.37,0.27,0.28,0.33
g_1,0.74,0.63,1.01,0.55,0.58,0.48,0.38,0.41,0.74,0.43,0.38,0.56,0.36,0.33,0.33,0.23
c_0,0.9,0.85,0.73,0.55,0.6,0.35,0.52,0.4,0.4,0.66,0.67,0.39,0.4,0.33,0.32,0.31
b_0,1.0,0.8,0.8,0.68,0.33,0.4,0.47,0.53,0.43,0.41,0.65,0.41,0.44,0.35,0.56,0.32
f_0,0.87,0.74,0.8,0.7,0.59,0.47,0.61,0.5,0.44,0.52,0.45,0.64,0.45,0.54,0.25,0.34
h_0,0.9,1.08,0.87,0.78,0.54,0.48,0.36,0.52,0.56,0.5,0.48,0.43,0.33,0.36,0.28,0.47
e_0,0.61,1.23,0.77,0.9,0.65,0.47,0.62,0.58,0.42,0.58,0.47,0.47,0.44,0.62,0.31,0.4
a_0,0.93,0.99,0.95,0.9,0.61,0.32,0.57,0.53,0.55,0.5,0.42,0.47,0.53,0.43,0.61,0.38
g_0,0.86,0.85,1.2,0.96,0.78,0.46,0.55,0.46,0.42,0.53,0.46,0.66,0.4,0.38,0.33,0.31
