,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.88,0.06,0.1,0.09,0.07,0.05,0.08,0.06,0.08,0.15,0.08,0.06,0.07,0.04,0.01,0.04
d_1,0.09,0.88,0.08,0.06,0.07,0.05,0.08,0.06,0.16,0.01,0.08,0.07,0.08,0.05,0.06,0.06
f_1,0.16,0.09,0.88,0.06,0.06,0.04,0.09,0.07,0.07,0.08,0.01,0.06,0.07,0.06,0.03,0.06
c_1,0.06,0.07,0.09,0.88,0.15,0.05,0.08,0.05,0.01,0.08,0.07,0.03,0.08,0.05,0.05,0.07
b_1,0.09,0.06,0.08,0.07,0.88,0.11,0.09,0.06,0.06,0.07,0.07,0.01,0.09,0.04,0.05,0.06
a_1,0.08,0.09,0.08,0.1,0.08,0.87,0.06,0.08,0.07,0.07,0.06,0.08,0.06,0.01,0.06,0.07
h_1,0.13,0.17,0.21,0.15,0.11,0.06,0.52,0.13,0.12,0.11,0.11,0.14,0.04,0.08,0.08,0.15
g_1,0.14,0.27,0.13,0.08,0.12,0.08,0.14,0.52,0.14,0.11,0.18,0.12,0.09,0.07,0.08,0.05
c_0,0.15,0.18,0.18,0.06,0.11,0.09,0.17,0.13,0.4,0.1,0.12,0.23,0.1,0.11,0.09,0.12
d_0,0.18,0.03,0.15,0.3,0.13,0.06,0.15,0.08,0.08,0.37,0.11,0.11,0.12,0.07,0.07,0.09
f_0,0.13,0.2,0.07,0.13,0.14,0.08,0.16,0.13,0.16,0.12,0.39,0.14,0.15,0.08,0.21,0.13
b_0,0.13,0.25,0.19,0.15,0.03,0.06,0.15,0.11,0.14,0.11,0.13,0.38,0.17,0.19,0.08,0.1
h_0,0.12,0.15,0.21,0.14,0.11,0.09,0.06,0.18,0.14,0.14,0.11,0.11,0.06,0.11,0.08,0.17
a_0,0.16,0.19,0.19,0.15,0.1,,0.17,0.1,0.13,0.12,0.13,0.11,0.18,0.36,0.09,0.15
e_0,0.05,0.21,0.21,0.15,0.1,0.11,0.17,0.12,0.13,0.14,0.11,0.12,0.16,0.07,0.37,0.12
g_0,0.12,0.27,0.12,0.17,0.11,0.08,0.14,0.04,0.12,0.1,0.15,0.14,0.12,0.09,0.1,0.05
