,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.5,1.19,0.6,0.65,0.51,0.49,0.99,0.82,0.95,0.87,0.96,0.41,0.82,0.85,0.46,1.01
e_1,0.76,2.54,0.52,0.88,0.55,0.57,0.85,0.79,1.54,0.75,1.08,1.07,0.94,1.05,0.58,0.83
d_1,0.69,0.56,2.83,0.46,0.61,0.72,0.94,0.93,0.47,1.87,1.13,1.07,1.04,0.98,1.15,0.99
c_1,0.52,0.6,0.54,2.81,1.32,0.62,0.89,0.76,0.99,0.36,0.53,0.95,0.87,0.59,0.9,0.93
b_1,0.71,0.5,0.75,0.59,3.15,1.25,0.86,0.98,0.73,0.91,0.44,0.92,1.02,1.02,1.14,0.91
a_1,0.75,0.64,0.82,0.74,0.55,4.59,0.88,0.94,0.84,0.9,0.92,0.69,1.01,0.54,0.69,0.78
h_1,1.12,0.91,0.79,0.74,0.75,0.56,2.62,1.33,1.09,0.8,1.12,0.98,0.91,1.16,1.18,1.71
g_1,0.75,0.67,1.27,0.8,0.71,0.67,0.95,3.1,0.87,1.11,1.17,1.82,1.29,1.03,1.47,0.78
d_0,0.89,0.86,0.35,1.46,0.82,0.67,1.1,1.17,2.1,0.74,1.06,1.21,1.11,0.99,1.25,1.14
c_0,0.94,0.66,0.96,0.51,0.53,0.71,1.04,1.38,1.1,2.46,2.55,1.25,1.44,1.41,1.56,1.3
b_0,0.82,0.79,0.9,0.83,0.53,0.49,1.13,1.15,1.24,1.26,2.75,1.4,1.4,2.67,1.32,1.39
f_0,0.5,0.63,0.94,0.74,0.81,0.91,1.18,1.02,1.13,1.41,1.34,2.94,1.42,1.47,3.28,1.49
h_0,0.95,0.71,1.03,0.87,0.7,0.78,0.79,1.54,1.1,1.02,1.21,1.22,0.65,1.2,1.39,1.66
a_0,0.81,0.67,1.14,0.82,0.75,0.41,1.23,1.42,0.99,1.11,1.27,1.42,1.42,2.92,1.36,1.2
e_0,0.85,0.46,1.03,0.95,0.84,0.73,1.35,1.05,1.18,1.01,1.33,1.22,1.36,1.31,3.27,1.28
g_0,0.71,0.8,1.34,0.73,0.59,0.63,1.14,1.17,0.85,1.21,1.21,1.96,1.14,1.32,1.42,0.54
