,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.69,0.09,0.05,0.08,0.08,0.07,0.31,0.24,0.79,0.26,0.49,0.38,0.55,0.25,,0.56
f_1,0.13,5.94,0.07,0.07,0.07,0.08,0.33,0.26,0.52,0.43,0.44,,0.56,0.41,0.21,0.34
d_1,0.06,0.08,6.21,0.07,0.1,0.08,0.32,0.24,,0.72,0.43,0.34,0.72,0.29,0.4,0.58
c_1,0.07,0.06,0.1,6.3,0.17,0.07,0.32,0.24,0.36,,0.32,0.45,0.55,0.29,0.41,0.66
b_1,0.07,0.08,0.1,0.07,7.23,0.16,0.23,0.43,0.44,0.43,,0.3,0.46,0.29,0.28,0.44
a_1,0.1,0.07,0.07,0.11,0.07,10.51,0.39,0.28,0.51,0.22,0.26,0.35,0.72,,,0.42
h_1,0.32,0.44,0.27,0.3,0.32,0.23,16.22,1.66,1.36,1.39,1.15,0.94,,1.88,1.27,2.34
g_1,0.21,0.28,0.45,0.3,0.3,0.28,0.88,17.05,1.27,1.41,0.96,3.1,1.71,1.63,1.05,
d_0,0.42,0.32,,0.74,0.2,0.34,1.94,1.43,11.53,2.07,2.22,1.89,3.6,1.54,1.9,3.37
c_0,0.39,0.37,0.4,,0.26,0.38,1.55,1.29,1.78,13.79,2.17,2.38,3.34,2.29,2.21,3.48
b_0,0.42,0.41,0.51,0.23,,0.26,1.38,1.45,1.96,2.03,14.46,1.77,3.09,3.31,1.54,3.46
f_0,0.41,,0.47,0.45,0.36,0.44,1.0,1.55,1.5,2.09,1.85,13.8,2.88,,,3.28
h_0,0.49,0.98,0.39,0.51,0.48,0.72,,2.8,2.61,2.26,2.7,3.68,,3.58,2.75,6.0
a_0,0.45,0.22,0.33,0.48,0.38,,1.23,1.46,1.54,2.19,2.56,,3.03,20.4,,3.41
e_0,,0.4,0.46,0.43,0.42,,1.99,1.05,1.7,2.1,2.72,,3.21,,22.85,
g_0,0.52,0.49,0.79,0.46,0.55,0.42,2.34,,2.7,2.48,2.92,4.51,5.48,2.46,,
