,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.42,0.32,0.25,0.26,0.27,0.34,0.57,,0.44,1.04,0.69,0.5,0.68,0.76,0.46,0.61
e_1,0.25,2.44,0.21,0.29,0.27,0.29,0.58,0.92,0.58,0.62,0.63,0.65,0.74,0.55,,0.68
f_1,0.28,0.45,2.47,0.29,0.21,0.33,0.55,0.6,0.66,0.62,,0.65,0.56,0.54,0.46,0.7
c_1,0.27,0.3,0.28,2.52,0.4,0.28,0.47,0.5,0.55,,0.6,0.52,1.04,0.53,,0.99
b_1,0.25,0.24,0.31,0.27,2.77,0.42,0.63,0.54,0.52,0.61,0.53,,0.74,0.56,0.72,0.88
a_1,0.26,0.27,0.2,0.24,0.26,3.18,0.57,0.69,0.55,0.69,0.74,0.64,0.8,,,0.74
h_1,0.57,0.42,0.73,0.57,0.51,0.42,3.88,1.11,1.54,1.13,0.98,0.98,,1.25,1.35,1.64
d_0,,0.63,0.6,1.06,0.83,0.74,1.03,3.36,0.98,1.25,1.27,1.15,1.61,1.3,1.37,1.67
g_1,0.68,0.44,0.41,0.48,0.52,0.48,0.71,1.23,4.28,1.46,1.7,1.43,1.48,,1.22,
c_0,0.49,0.58,0.67,,0.48,0.47,1.45,1.45,0.92,3.55,1.38,2.43,1.9,1.07,1.28,2.06
f_0,0.57,0.47,,0.75,0.81,0.51,1.35,1.37,1.31,1.11,3.7,1.48,1.68,1.31,2.29,1.61
b_0,0.61,0.57,0.59,0.61,,0.49,1.36,1.61,1.23,0.96,1.31,3.81,1.91,2.76,1.32,1.44
h_0,1.0,0.7,1.12,0.63,0.71,0.61,,1.84,1.54,1.32,1.63,1.75,,1.55,1.54,2.24
a_0,0.48,0.81,0.66,0.53,0.48,,1.42,1.43,,1.58,1.67,0.85,1.63,4.45,,1.52
e_0,0.78,,0.77,,0.57,,1.09,1.72,1.29,1.42,1.11,1.23,2.16,,4.52,1.76
g_0,1.08,0.63,0.7,0.55,0.63,0.74,1.44,1.43,,1.8,2.3,1.85,2.18,1.81,1.57,
