,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.43,0.59,0.98,0.95,1.01,0.91,0.25,0.27,0.22,0.2,0.22,0.19,0.18,0.13,0.31,0.15
f_1,0.91,0.42,0.93,0.86,0.93,0.78,0.2,0.28,0.19,0.17,0.22,0.18,0.17,0.1,0.16,0.13
c_1,0.8,0.97,0.4,1.28,0.86,0.8,0.29,0.27,0.12,0.25,0.2,0.22,0.22,0.13,0.18,0.13
d_1,1.12,1.11,1.03,0.39,0.95,0.82,0.25,0.17,0.3,0.17,0.19,0.18,0.2,0.13,0.15,0.09
b_1,0.95,1.04,0.61,1.16,0.39,0.9,0.32,0.32,0.22,0.27,0.21,0.32,0.22,0.16,0.2,0.15
a_1,1.33,1.58,1.2,1.37,0.69,0.31,0.37,0.38,0.31,0.3,0.25,0.4,0.34,0.24,0.27,0.2
h_1,1.64,1.79,1.66,1.64,1.72,1.28,0.29,0.52,0.36,0.33,0.33,0.35,0.3,0.31,0.29,0.24
g_1,1.86,1.94,2.02,1.77,2.12,1.79,0.44,0.27,0.42,0.3,0.38,0.34,0.37,0.22,0.33,0.28
d_0,1.26,1.81,1.93,2.81,1.82,1.84,0.65,0.73,0.31,0.44,0.38,0.51,0.46,0.27,0.48,0.33
c_0,2.38,2.48,2.94,1.32,2.21,2.1,0.71,0.55,0.64,0.28,0.43,0.4,0.39,0.31,0.37,0.33
f_0,2.07,2.78,2.27,2.3,2.07,1.81,0.62,0.41,0.48,0.42,0.28,0.46,0.39,0.34,0.47,0.22
b_0,2.41,2.44,2.59,1.79,2.71,1.94,0.59,0.55,0.5,0.23,0.4,0.26,0.41,0.3,0.36,0.31
a_0,2.51,2.45,2.78,2.11,2.96,2.57,0.74,0.64,0.54,0.38,0.42,0.28,0.26,0.33,0.44,0.32
h_0,2.36,2.33,2.65,2.27,2.51,2.35,0.89,0.67,0.64,0.49,0.51,0.56,0.48,0.44,0.43,0.35
e_0,3.33,3.69,2.56,2.22,2.28,2.1,0.81,0.68,0.63,0.51,0.28,0.58,0.43,0.38,0.28,0.32
g_0,2.59,2.74,3.1,2.69,2.6,2.43,0.67,0.91,0.66,0.58,0.62,0.61,0.6,0.31,0.6,0.48
