,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.14,6.6,12.16,11.16,10.59,11.68,3.69,2.64,2.64,3.25,2.0,2.47,1.65,2.19,2.0,9.22
f_1,10.62,1.15,9.51,10.85,12.41,14.93,2.49,2.38,2.32,3.06,2.31,8.03,1.1,3.25,2.46,2.5
d_1,11.85,12.36,1.14,15.72,10.29,10.03,2.99,11.57,2.38,2.29,2.45,2.14,1.67,2.62,0.89,1.92
c_1,11.18,13.92,12.85,1.14,13.7,11.48,3.94,1.36,7.24,3.53,2.62,2.47,1.76,2.89,1.89,2.13
b_1,14.77,15.64,17.37,7.22,1.14,13.42,4.12,3.12,3.38,4.81,8.52,2.55,2.58,2.85,1.91,2.57
a_1,25.64,21.72,22.55,20.2,10.95,1.15,5.62,4.08,3.71,8.99,7.03,3.8,3.07,17.22,3.25,3.05
h_1,28.49,27.72,21.69,30.68,28.34,23.93,1.9,6.09,5.12,7.86,5.93,4.45,10.05,5.14,4.27,5.44
d_0,15.61,38.31,94.58,29.01,37.06,33.66,8.48,2.63,6.88,8.99,7.12,6.12,5.43,6.09,5.28,9.22
c_0,34.52,28.18,16.86,187.71,31.77,31.03,10.1,9.17,2.54,10.48,6.3,6.71,3.83,6.95,4.48,6.15
g_1,31.77,29.4,41.02,33.24,39.07,36.11,6.42,5.98,5.53,1.93,5.87,7.0,3.87,5.01,10.11,5.72
b_0,33.87,32.48,27.46,58.02,137.67,31.52,9.32,6.54,3.79,9.48,2.63,7.66,7.05,7.07,5.21,7.9
f_0,46.03,126.3,37.01,43.12,52.56,39.72,15.14,8.61,8.36,7.52,8.29,2.8,6.09,9.66,4.27,8.51
h_0,50.56,56.83,61.91,47.63,61.51,55.17,42.4,11.77,11.7,20.97,8.9,9.07,19.14,8.61,9.08,10.06
a_0,66.48,50.9,54.92,77.83,56.69,124.12,16.0,14.71,8.89,16.48,5.4,11.14,7.18,2.59,7.22,7.9
g_0,59.83,59.82,61.91,65.12,65.7,64.06,14.88,19.61,13.0,43.25,14.07,12.25,6.93,9.9,32.18,10.71
e_0,256.43,66.86,63.06,50.65,76.08,62.06,18.84,13.07,13.76,14.42,13.75,5.9,12.97,10.15,11.42,3.02
