,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,4.16,3.88,3.66,3.37,3.38,1.84,,1.81,1.19,1.89,1.59,1.4,1.52,1.76,0.82
f_1,3.03,0.41,3.48,4.58,4.13,2.73,1.43,1.75,1.86,1.84,1.8,,1.25,1.49,1.34,1.4
e_1,3.39,2.49,0.4,3.54,3.41,3.54,2.06,1.84,1.38,2.7,2.02,1.63,1.35,1.61,,1.53
c_1,3.89,3.4,3.89,0.39,3.96,,1.72,1.1,,1.87,1.31,1.51,1.51,1.91,1.78,1.67
b_1,4.55,3.28,3.52,2.32,0.37,5.3,2.02,1.73,1.5,1.84,,1.57,1.46,1.77,1.49,1.2
a_1,3.84,3.68,4.71,,2.3,0.32,1.43,1.19,1.59,1.84,1.95,,1.3,,,1.22
h_1,1.59,1.64,1.86,1.77,1.45,2.65,0.26,0.91,0.76,1.07,0.73,0.91,,0.71,1.07,0.82
d_0,,1.57,1.04,1.72,1.4,1.84,0.75,0.29,0.74,0.87,0.86,0.71,0.6,0.86,0.6,0.71
c_0,1.15,1.49,1.85,,2.04,1.59,0.88,0.78,0.29,0.86,0.76,0.66,0.59,0.66,0.51,0.73
g_1,2.82,2.28,1.73,1.68,1.84,1.84,0.85,0.99,0.9,0.24,0.79,0.96,0.45,,0.82,
b_0,1.31,1.88,1.85,2.14,,1.54,1.06,0.57,0.46,0.86,0.27,0.73,0.62,0.71,,0.64
f_0,1.42,,1.93,1.56,1.51,,0.96,0.76,0.75,0.64,0.67,0.26,0.73,0.97,0.71,0.41
h_0,1.4,1.17,1.21,1.21,1.35,1.36,,0.55,0.67,0.68,0.52,0.49,,0.58,0.53,0.61
a_0,1.66,2.49,1.79,1.36,1.91,,0.9,0.7,0.69,,0.58,0.58,0.56,0.22,,0.61
e_0,1.52,2.36,,1.51,1.57,,0.82,0.91,0.91,0.88,,0.44,0.65,,0.22,0.46
g_0,1.62,1.26,1.34,1.04,1.94,1.37,0.67,0.53,0.63,,0.56,0.7,0.34,0.51,0.66,
