,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.39,2.22,1.48,1.54,1.35,1.26,2.44,2.91,2.93,2.7,2.83,2.62,3.45,3.02,3.57,2.3
e_1,1.28,2.44,1.35,1.77,1.63,1.61,2.95,2.8,5.14,3.2,3.48,3.76,3.73,3.03,4.26,3.02
d_1,1.57,1.36,2.56,1.4,1.48,1.37,3.08,2.73,2.56,4.73,3.79,3.18,4.15,3.7,3.69,3.73
c_1,1.56,1.35,1.36,2.63,2.31,1.61,2.81,2.71,2.51,2.41,2.32,3.34,3.9,3.55,3.63,3.22
b_1,1.6,1.39,1.41,1.3,2.81,2.51,3.03,2.77,3.23,3.15,2.54,3.11,4.53,2.61,4.49,3.55
a_1,1.75,1.39,1.67,1.45,1.35,3.26,3.06,3.09,3.03,3.93,3.65,3.37,4.78,2.73,3.91,3.15
h_1,2.02,1.49,1.64,1.55,1.37,1.26,4.18,3.86,3.42,3.17,3.33,3.03,3.31,3.34,5.16,3.69
g_1,1.49,1.41,2.07,1.54,1.49,1.45,2.83,4.61,3.16,3.2,3.36,4.19,3.59,3.62,3.69,3.56
d_0,1.56,1.28,1.19,2.63,1.54,1.55,3.02,2.6,4.19,2.46,3.62,3.22,4.19,3.58,4.01,4.24
c_0,1.83,1.43,1.58,1.49,1.15,1.35,3.38,3.41,3.53,4.46,5.69,3.26,4.8,4.26,4.82,4.48
b_0,1.77,1.46,1.67,1.83,1.18,1.25,3.36,3.37,3.32,3.07,4.57,3.31,4.41,6.15,4.14,4.22
f_0,1.42,1.27,1.81,1.64,1.59,1.56,3.36,3.0,3.61,3.71,3.79,4.88,4.21,3.9,4.44,6.78
h_0,1.99,1.56,1.62,1.56,1.44,1.41,2.62,3.69,2.96,3.08,3.36,3.23,3.57,3.71,5.28,3.3
a_0,1.86,1.43,1.64,1.64,1.62,1.12,3.36,3.02,3.31,3.13,2.96,3.53,4.4,5.19,4.66,4.38
g_0,1.47,1.3,2.13,1.64,1.43,1.46,2.49,2.5,3.18,3.32,3.57,4.94,4.01,3.57,4.0,4.27
e_0,2.05,1.43,1.51,1.78,1.43,1.47,3.11,3.26,3.29,3.12,3.38,2.74,4.98,4.17,4.46,5.58
