,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.92,0.35,0.27,0.21,0.26,0.2,0.3,0.26,0.2,0.54,0.33,0.26,0.3,0.22,0.25,0.19
f_1,0.31,0.91,0.55,0.27,0.21,0.14,0.27,0.24,0.28,0.27,0.25,0.13,0.29,0.18,0.24,0.1
e_1,0.29,0.35,0.91,0.32,0.28,0.18,0.3,0.24,0.52,0.29,0.29,0.23,0.25,0.18,0.21,0.11
c_1,0.32,0.3,0.3,0.9,0.48,0.15,0.29,0.26,0.26,0.14,0.17,0.27,0.3,0.18,0.21,0.15
b_1,0.33,0.32,0.32,0.29,0.89,0.36,0.23,0.19,0.27,0.26,0.16,0.24,0.25,0.16,0.24,0.16
a_1,0.38,0.32,0.3,0.3,0.26,0.89,0.31,0.26,0.29,0.28,0.29,0.24,0.3,0.13,0.26,0.18
h_1,0.4,0.49,0.35,0.32,0.24,0.17,0.6,0.36,0.28,0.3,0.24,0.22,0.22,0.2,0.29,0.18
g_1,0.55,0.35,0.31,0.29,0.26,0.16,0.29,0.6,0.28,0.34,0.28,0.38,0.29,0.19,0.16,0.23
d_0,0.26,0.37,0.35,0.59,0.28,0.16,0.33,0.25,0.5,0.24,0.29,0.21,0.3,0.17,0.22,0.2
c_0,0.43,0.42,0.34,0.22,0.22,0.2,0.37,0.27,0.33,0.5,0.55,0.26,0.35,0.26,0.24,0.24
b_0,0.45,0.42,0.34,0.31,0.17,0.18,0.35,0.27,0.29,0.3,0.5,0.26,0.33,0.39,0.29,0.18
f_0,0.43,0.3,0.31,0.29,0.26,0.22,0.33,0.27,0.34,0.35,0.32,0.51,0.3,0.23,0.27,0.43
h_0,0.43,0.52,0.37,0.28,0.24,0.18,0.19,0.34,0.28,0.29,0.33,0.27,0.26,0.21,0.33,0.16
a_0,0.39,0.43,0.34,0.33,0.27,0.1,0.34,0.27,0.38,0.35,0.34,0.25,0.36,0.45,0.27,0.18
g_0,0.55,0.33,0.32,0.3,0.26,0.19,0.28,0.2,0.28,0.33,0.32,0.41,0.31,0.23,0.22,0.21
e_0,0.43,0.42,0.29,0.3,0.3,0.2,0.34,0.29,0.29,0.29,0.35,0.27,0.37,0.23,0.24,0.41
